Temperature,Heat Capacity,Heat Capacity Error,Magnetic Susceptibility,Magnetic Susceptibility Error,Average Energy,Average Energy Error,Average Magnetization,Average Magnetization Error,binder cumulant,binder cumulant error
0.95,1.1606613204919545,9.881961847271485e-05,3.613584459509447e-05,6.772118573121257e-05,-0.9667116208115776,0.0032365721212725533,-0.8346959898038893,0.005710861635104282,1.0001870809368172,0.0386798389346417
0.961111,1.3120882801782427,0.00010638047654313404,4.3900729063178626e-05,7.191271108621178e-05,-0.9532227196142274,0.0034814809719957486,0.8126147640440177,0.006368224482610878,1.0002453712686132,0.044294683312410585
0.972222,1.4892814254914504,0.00011328477983552632,5.5768857521967435e-05,7.722019926825104e-05,-0.9380740009803521,0.003751998888152605,-0.7864663110167069,0.007260561164336757,1.0003408120327346,0.05223102241854297
0.983333,1.6940858061265789,0.00012311698702829714,7.244893152389781e-05,8.406368708032015e-05,-0.9205530215156289,0.00404741109756245,-0.7541192214575906,0.008370002904707212,1.000492707311478,0.06281850090731181
0.994444,1.7457622014244605,0.00011853101169549499,8.435177633010927e-05,8.491648721398209e-05,-0.9006661490004552,0.00415510365653967,-0.714713668308431,0.009133483232100932,1.000652462083484,0.07226213161481858
1.00556,2.489795062285356,0.0001550591117326461,0.00015499433204325662,0.00010498403303527869,-0.8770056409563579,0.005017630541323219,0.6630702628346844,0.012519148410893839,1.0014208518019037,0.10661489385927501
1.01667,3.404541912100423,0.000196628482336497,0.00029122527052248917,0.00012628817593846538,-0.8454048080200501,0.005932236022183008,-0.5826569749373434,0.017350164944177477,1.0035252191032331,0.16810563654946645
1.02778,5.182686783182245,0.0002581160725707571,0.0008410164502427255,0.0001588554158823879,-0.8014543113574086,0.007399229959218194,-0.43928980082614205,0.02980652102415846,1.0183899964376344,0.3915582059406681
1.03889,0.5797172504504119,2.4494686185280298e-05,0.0031390674379537715,2.3250974305810597e-05,-0.7464302105930471,0.0025014196621142067,-0.01989121717791411,0.05820747634671646,2.7763778894146034,10.388596160658134
1.05,0.43691348427824783,1.818906125314088e-05,0.0012186367140231732,8.039161955599778e-06,-0.7412356706899432,0.0021948057657065903,0.007287716338122285,0.03665519187790849,2.7821211242177784,10.264923778104484
0.5,0.0022788286813124614,3.601167294924468e-06,5.030508010150925e-09,3.3229553808407337e-06,-1.199901296296296,7.548412368881972e-05,0.9999575912208505,3.5465471602219346e-05,1.0000000050307536,0.00020062425468932
0.611111,0.013005752817772075,1.3747033662258608e-05,3.5216417111070484e-08,7.192481106264305e-06,-1.1991588568683957,0.0002204030750010234,-0.9996106079319337,0.00011468919131334222,1.0000000526458257,0.0006490033458886014
0.722222,0.04488545796712876,3.3777010519619015e-05,1.492553855832512e-07,1.250595424553094e-05,-1.1961421108215609,0.0004838974449579038,-0.9980752791112331,0.0002790393836751166,1.000000312591249,0.001581427689297894
0.833333,0.11426801201204623,6.35699107344719e-05,4.5463749884875087e-07,1.881132669056263e-05,-1.1877793374401098,0.0008908624303595599,0.9934575879534565,0.0005619283391530991,1.000001279468944,0.003199434862221707
0.944444,0.2262280484467848,9.476423627452892e-05,1.0681844045778077e-06,2.5130062610547743e-05,-1.1692801653005465,0.0014206238562691402,-0.982264169398907,0.0009761779540625401,1.0000039500156863,0.005621788057626019
1.05556,0.4237142895656916,0.00013447804785667158,2.567908195640273e-06,3.413017620013187e-05,-1.133090457174332,0.0021729482510321877,-0.9578736904434041,0.001691619080374157,1.0000124724817991,0.009989406162114628
1.14444,0.7570595349921861,6.531018845540808e-05,5.807596190456067e-06,2.6885763902428365e-05,-1.0814200227042172,0.0031489700891994673,0.9185239601951598,0.0027580473921863516,1.000036056304325,0.01698338973965149
1.16667,0.8701050908214811,0.00019878624254386285,7.269168435875956e-06,4.8967602183797036e-05,-1.0632006916941694,0.0034416265872882004,-0.9033919224422443,0.003145721418189332,1.000048488598182,0.019696820255034758
1.18889,1.0282436039642,7.631933801431237e-05,9.541999100195387e-06,3.196003577375738e-05,-1.0418637234813706,0.0038124150604270804,0.8847596085632824,0.0036725849804058793,1.0000688964683662,0.02347588235858869
1.1,0.557193184612679,5.47326919641044e-05,3.839577969249108e-06,2.3279981059503525e-05,-1.1107111406551058,0.0025966059211607706,-0.9415067591522158,0.0021554844337118824,1.000020960940673,0.012948994562198746
1.23333,1.5289672039721076,9.460654931873966e-05,1.8000345079000883e-05,3.9773188408019045e-05,-0.9846121956986115,0.004822685295853456,-0.8297985891834158,0.0052327532178437115,1.0001589402095783,0.03565275816143612
1.273,3.631490219569589,7.164976194288848e-05,6.719760243122861e-05,4.171260362784375e-05,-0.8942334979400001,0.007671409854193606,0.7246666916000002,0.010435412853707226,1.0008270617229167,0.08130484459136629
1.273,3.4596637187747397,6.824928921046065e-05,6.441305092795698e-05,4.083601297889252e-05,-0.89406967696,0.007487721628409329,0.7244452116000001,0.010216912680126013,1.0007940105027355,0.07969667074831516
1.27433,677.3729982049845,0.01061008744085805,0.06492043686728137,0.000786284627526992,-0.8210894351600001,0.1048818141005466,0.5100519384,0.324696021393698,1.3990136590981366,1.9876878315312947
1.27433,3.52596661291849,6.863518034416184e-05,6.737711125889826e-05,4.133199419551809e-05,-0.8891010902800002,0.007567028124585125,0.7177946992000002,0.010460259140286393,1.0008472287890737,0.08230327280089025
1.27567,0.6787524846309009,7.210172804426384e-06,0.002275291478990202,1.0638142766846526e-05,-0.65656981996,0.0033235208028769944,0.007673720800000001,0.06085008728067766,3.056448247711076,13.454973972804076
