step,Energy,Magnet,acc,J
1,0.00800013,-0.009,1e-06,1.00002
1000001,-0.662712,0.1536,0.339329,1.00472
2000001,-0.693611,0.2706,0.322035,1.01464
3000001,-0.747832,0.4526,0.284872,1.04097
4000001,-0.898069,0.7336,0.212819,1.10763
5000001,-0.892912,0.7324,0.154026,1.10728
6000001,-0.942136,0.778,0.155498,1.12106
7000001,-0.91515,0.7706,0.150677,1.11876
8000001,-0.898451,0.7352,0.152399,1.1081
9000001,-0.925292,0.7612,0.14738,1.11589
10000001,-0.90262,0.7378,0.146943,1.10887
11000001,-0.908114,0.744,0.160283,1.11071
12000001,-0.8939,0.7272,0.16287,1.10576
13000001,-0.916404,0.7524,0.156578,1.11322
14000001,-0.902476,0.7372,0.156788,1.10869
15000001,-0.894072,0.7166,0.173933,1.1027
16000001,-0.904182,0.7258,0.157352,1.10536
17000001,-0.888271,0.7144,0.164165,1.10207
18000001,-0.937424,0.765,0.151517,1.11704
19000001,-0.934516,0.7676,0.144639,1.11784
20000001,-0.919272,0.7514,0.153401,1.11292
21000001,-0.879227,0.7134,0.15392,1.10179
22000001,-0.887683,0.7214,0.155482,1.10408
23000001,-0.912692,0.7572,0.162489,1.11467
24000001,-0.839054,0.6264,0.177172,1.07848
25000001,-0.913138,0.7572,0.173032,1.11467
26000001,-0.917128,0.7678,0.155305,1.1179
27000001,-0.919785,0.7606,0.1516,1.1157
28000001,-0.891454,0.711,0.146168,1.1011
29000001,-0.934824,0.7688,0.154873,1.11821
30000001,-0.913238,0.7594,0.152631,1.11534
31000001,-0.888712,0.7144,0.152291,1.10207
32000001,-0.896615,0.7368,0.15417,1.10857
33000001,-0.888613,0.7216,0.15491,1.10414
34000001,-0.907878,0.7412,0.161856,1.10988
35000001,-0.902117,0.7394,0.142613,1.10934
36000001,-0.894396,0.7142,0.164228,1.10202
37000001,-0.946645,0.7798,0.16267,1.12162
38000001,-0.942522,0.7846,0.147806,1.12312
39000001,-0.909479,0.7514,0.145984,1.11292
40000001,-0.898594,0.7358,0.156932,1.10828
41000001,-0.875963,0.693,0.158362,1.09605
42000001,-0.908255,0.7464,0.159469,1.11142
43000001,-0.883301,0.7042,0.165107,1.09918
44000001,-0.901337,0.738,0.160847,1.10893
45000001,-0.889686,0.7148,0.167346,1.10219
46000001,-0.91339,0.7474,0.151833,1.11172
47000001,-0.907414,0.7466,0.160524,1.11148
48000001,-0.927067,0.7682,0.152726,1.11803
