step,Energy,Magnet,acc,J
1,-0.0028,0.0002,1e-06,1
1000001,-0.730609,-0.3194,0.309046,1.0204
2000001,-1.04827,-0.8904,0.142059,1.15856
3000001,-1.02634,-0.8752,0.08449,1.1532
4000001,-1.0349,-0.8716,0.081196,1.15194
5000001,-1.03085,-0.8778,0.089451,1.15411
6000001,-1.0412,-0.8886,0.08606,1.15792
7000001,-1.00577,-0.8484,0.083909,1.14396
8000001,-1.01256,-0.8512,0.088824,1.14491
9000001,-1.01951,-0.865,0.091023,1.14964
10000001,-1.03781,-0.8852,0.086875,1.15672
11000001,-1.02226,-0.865,0.085099,1.14964
12000001,-1.01751,-0.863,0.09176,1.14895
13000001,-1.04681,-0.8902,0.087148,1.15849
14000001,-1.01822,-0.8668,0.083949,1.15027
15000001,-1.01351,-0.8498,0.085759,1.14443
16000001,-1.03883,-0.8826,0.085982,1.1558
17000001,-1.03323,-0.8692,0.083711,1.1511
18000001,-1.06877,-0.902,0.083688,1.16272
19000001,-1.03372,-0.8796,0.085674,1.15474
20000001,-1.05567,-0.8918,0.087413,1.15906
21000001,-1.04134,-0.8948,0.087695,1.16013
22000001,-1.0392,-0.8794,0.085793,1.15467
23000001,-1.02184,-0.8696,0.090451,1.15124
24000001,-1.03193,-0.8576,0.08557,1.1471
25000001,-1.01837,-0.8658,0.091253,1.14992
26000001,-1.0034,-0.8512,0.088931,1.14491
27000001,-1.03265,-0.8762,0.087111,1.15355
28000001,-1.02415,-0.8726,0.084998,1.15229
29000001,-1.04119,-0.8842,0.088256,1.15636
30000001,-1.03795,-0.8842,0.084098,1.15636
31000001,-1.01488,-0.8634,0.086294,1.14909
32000001,-1.03604,-0.884,0.085001,1.15629
33000001,-1.02537,-0.8676,0.088012,1.15055
34000001,-1.00583,-0.8486,0.089067,1.14402
35000001,-1.04216,-0.8858,0.09177,1.15693
36000001,-1.0278,-0.871,0.085184,1.15173
37000001,-1.04194,-0.888,0.084603,1.15771
38000001,-1.0069,-0.8522,0.084379,1.14525
39000001,-1.03855,-0.889,0.090492,1.15806
40000001,-1.04272,-0.889,0.085474,1.15806
41000001,-1.0329,-0.877,0.085402,1.15383
42000001,-1.0133,-0.8582,0.086648,1.1473
43000001,-1.05573,-0.8934,0.085844,1.15963
44000001,-1.02644,-0.8666,0.085012,1.1502
45000001,-1.04289,-0.875,0.08302,1.15312
46000001,-1.03194,-0.8754,0.084206,1.15327
47000001,-1.02846,-0.8746,0.085662,1.15299
48000001,-1.01586,-0.8666,0.088378,1.1502
49000001,-1.01528,-0.8602,0.087018,1.14799
50000001,-1.02061,-0.8656,0.084047,1.14985
51000001,-1.02763,-0.8734,0.084927,1.15257
52000001,-1.04289,-0.8852,0.090313,1.15672
53000001,-1.04446,-0.8944,0.080016,1.15999
54000001,-1.02058,-0.87,0.086286,1.15138
55000001,-1.02484,-0.8644,0.08257,1.14944
56000001,-1.02362,-0.8694,0.086881,1.15117
57000001,-1.02865,-0.8752,0.087541,1.1532
58000001,-1.04914,-0.8888,0.085644,1.15799
59000001,-1.02924,-0.8756,0.085496,1.15334
60000001,-1.00792,-0.8632,0.087556,1.14902
61000001,-1.01274,-0.8624,0.08725,1.14875
62000001,-1.03494,-0.882,0.086758,1.15558
63000001,-1.00756,-0.8498,0.092313,1.14443
64000001,-1.02894,-0.8776,0.087041,1.15404
65000001,-1.03071,-0.8744,0.087174,1.15292
66000001,-1.01545,-0.8532,0.085696,1.14559
67000001,-1.04802,-0.8968,0.07982,1.16085
68000001,-1.04142,-0.8762,0.088601,1.15355
69000001,-1.0282,-0.8708,0.087119,1.15166
70000001,-1.00055,-0.8354,0.087279,1.13958
71000001,-1.04752,-0.8924,0.087311,1.15928
72000001,-1.02006,-0.8608,0.088778,1.1482
73000001,-1.05294,-0.8948,0.0849,1.16013
74000001,-1.03444,-0.876,0.08361,1.15348
75000001,-1.03242,-0.8828,0.084176,1.15587
76000001,-1.01687,-0.8654,0.084363,1.14978
77000001,-1.01942,-0.8722,0.087778,1.15215
78000001,-1.05261,-0.8938,0.081904,1.15978
79000001,-1.02238,-0.8624,0.083039,1.14875
80000001,-1.01354,-0.859,0.086869,1.14758
81000001,-1.04235,-0.8864,0.086573,1.15714
82000001,-1.03631,-0.8834,0.082923,1.15608
83000001,-1.03711,-0.883,0.087608,1.15594
84000001,-1.02749,-0.87,0.085829,1.15138
85000001,-1.03876,-0.878,0.084954,1.15418
86000001,-1.02009,-0.8684,0.082346,1.15082
87000001,-1.01895,-0.8602,0.086593,1.14799
88000001,-1.01072,-0.8588,0.090223,1.14751
89000001,-1.0306,-0.8726,0.086019,1.15229
90000001,-1.0304,-0.8808,0.083227,1.15516
91000001,-1.03775,-0.8792,0.081746,1.1546
92000001,-1.03301,-0.8744,0.083232,1.15292
93000001,-1.01721,-0.859,0.081365,1.14758
94000001,-1.02637,-0.8634,0.092126,1.14909
95000001,-1.03094,-0.8722,0.085232,1.15215
96000001,-1.03281,-0.8708,0.082305,1.15166
97000001,-1.02845,-0.8716,0.086592,1.15194
98000001,-1.04829,-0.8962,0.085197,1.16063
99000001,-1.0345,-0.8806,0.08462,1.15509
100000001,-1.01724,-0.8606,0.08781,1.14813
101000001,-1.04276,-0.892,0.086301,1.15913
102000001,-1.02291,-0.8626,0.085423,1.14882
103000001,-1.0402,-0.884,0.085249,1.15629
104000001,-1.05384,-0.899,0.083665,1.16164
105000001,-1.03376,-0.8812,0.083181,1.1553
106000001,-1.03356,-0.8732,0.08642,1.1525
107000001,-1.04323,-0.8906,0.081993,1.15863
108000001,-1.01525,-0.8586,0.084762,1.14744
109000001,-1.0411,-0.881,0.085698,1.15523
110000001,-1.00656,-0.8526,0.084924,1.14539
111000001,-1.03801,-0.88,0.085933,1.15488
112000001,-1.03854,-0.8846,0.085037,1.1565
113000001,-1.01874,-0.858,0.088949,1.14723
114000001,-1.04811,-0.8856,0.085294,1.15686
115000001,-1.02964,-0.8754,0.087823,1.15327
116000001,-1.00042,-0.8396,0.089985,1.14099
117000001,-1.03056,-0.8754,0.086003,1.15327
118000001,-1.03953,-0.8848,0.083201,1.15657
119000001,-1.03632,-0.8776,0.08513,1.15404
120000001,-1.03677,-0.8834,0.087433,1.15608
121000001,-1.02844,-0.8686,0.089276,1.15089
122000001,-1.01469,-0.8658,0.085072,1.14992
123000001,-1.03316,-0.8866,0.084232,1.15721
124000001,-1.03389,-0.8772,0.084613,1.1539
125000001,-1.04653,-0.885,0.085181,1.15664
126000001,-1.0375,-0.874,0.085829,1.15278
127000001,-0.994567,-0.843,0.087101,1.14213
128000001,-1.00706,-0.842,0.091147,1.14179
129000001,-1.02971,-0.8712,0.084754,1.1518
130000001,-1.03364,-0.8764,0.086408,1.15362
131000001,-1.03463,-0.8722,0.083423,1.15215
132000001,-1.04446,-0.8872,0.086949,1.15742
133000001,-1.035,-0.8822,0.085557,1.15566
134000001,-1.03312,-0.8718,0.08376,1.15201
135000001,-1.04653,-0.885,0.082084,1.15664
136000001,-1.03983,-0.8872,0.084779,1.15742
137000001,-1.02018,-0.8702,0.082037,1.15145
138000001,-1.02151,-0.873,0.086008,1.15243
139000001,-1.04345,-0.8826,0.08818,1.1558
140000001,-1.02668,-0.8822,0.08706,1.15566
141000001,-1.0239,-0.8718,0.087546,1.15201
142000001,-1.01696,-0.8642,0.08975,1.14937
143000001,-1.02282,-0.8698,0.089386,1.15131
144000001,-1.02522,-0.8716,0.086471,1.15194
145000001,-1.02763,-0.866,0.085644,1.14999
146000001,-1.03996,-0.8818,0.083151,1.15551
147000001,-1.03614,-0.8814,0.088576,1.15537
148000001,-1.03053,-0.8768,0.086953,1.15376
149000001,-1.02739,-0.8756,0.088,1.15334
150000001,-1.0408,-0.8786,0.083075,1.15439
151000001,-1.0324,-0.8754,0.085986,1.15327
152000001,-1.00738,-0.8492,0.088483,1.14423
153000001,-1.03204,-0.8772,0.091276,1.1539
154000001,-1.02986,-0.8776,0.084042,1.15404
155000001,-1.03199,-0.8726,0.085273,1.15229
156000001,-1.02208,-0.8674,0.08898,1.15048
157000001,-1.03206,-0.8846,0.086204,1.1565
158000001,-1.0099,-0.8576,0.082551,1.1471
159000001,-1.02535,-0.8616,0.085628,1.14847
160000001,-1.01191,-0.8612,0.089628,1.14833
161000001,-1.02501,-0.8724,0.083752,1.15222
162000001,-1.03387,-0.8742,0.085265,1.15285
163000001,-1.03289,-0.874,0.083429,1.15278
164000001,-1.00882,-0.854,0.091364,1.14586
165000001,-1.03935,-0.8886,0.087097,1.15792
166000001,-1.03198,-0.877,0.087058,1.15383
167000001,-1.02959,-0.8782,0.088138,1.15425
168000001,-1.03448,-0.8864,0.085295,1.15714
169000001,-1.0285,-0.8762,0.081619,1.15355
170000001,-1.0349,-0.876,0.085697,1.15348
171000001,-1.02735,-0.8636,0.09041,1.14916
172000001,-1.04915,-0.8874,0.086783,1.1575
173000001,-1.03075,-0.8716,0.087367,1.15194
174000001,-1.0451,-0.8834,0.088755,1.15608
175000001,-1.05638,-0.8954,0.082116,1.16035
176000001,-1.03505,-0.875,0.08418,1.15312
177000001,-1.03431,-0.8756,0.082817,1.15334
178000001,-1.02264,-0.8692,0.09351,1.1511
179000001,-1.03044,-0.8706,0.082665,1.15159
180000001,-1.01574,-0.8496,0.085169,1.14436
181000001,-1.02455,-0.8798,0.086753,1.15481
182000001,-1.04278,-0.8834,0.090254,1.15608
183000001,-1.03752,-0.877,0.084716,1.15383
184000001,-1.03593,-0.8778,0.09013,1.15411
185000001,-1.02634,-0.8752,0.085965,1.1532
186000001,-1.0363,-0.879,0.087177,1.15453
187000001,-0.996335,-0.8428,0.084877,1.14206
188000001,-1.03758,-0.8772,0.0923,1.1539
189000001,-1.01804,-0.8722,0.084741,1.15215
190000001,-1.03469,-0.8724,0.082737,1.15222
191000001,-1.03861,-0.879,0.085035,1.15453
192000001,-1.00844,-0.8558,0.091032,1.14648
193000001,-1.03811,-0.8818,0.088176,1.15551
194000001,-1.02854,-0.8704,0.085039,1.15152
195000001,-1.03566,-0.8872,0.088014,1.15742
196000001,-1.02546,-0.8664,0.082968,1.15013
197000001,-1.03047,-0.8766,0.088597,1.15369
198000001,-1.02472,-0.867,0.084746,1.15034
199000001,-1.05137,-0.8914,0.087646,1.15892
200000001,-1.04084,-0.886,0.085065,1.157
201000001,-1.03706,-0.877,0.084927,1.15383
202000001,-1.03222,-0.8704,0.088509,1.15152
203000001,-1.01263,-0.856,0.089034,1.14655
204000001,-1.05166,-0.888,0.086002,1.15771
205000001,-1.02356,-0.8692,0.081752,1.1511
