step,Energy,Magnet,acc,J
12300001,-1.19923,-0.99964,0.00032,1.19986
12400001,-1.19946,-0.99972,0.00028,1.19989
12500001,-1.19942,-0.99976,0.00032,1.1999
12600001,-1.19925,-0.99968,0.00024,1.19987
12700001,-1.19946,-0.99974,0.00041,1.1999
12800001,-1.19953,-0.99978,0.0002,1.19991
12900001,-1.19922,-0.99962,0.00038,1.19985
13000001,-1.19924,-0.99966,0.0003,1.19986
13100001,-1.19942,-0.99974,0.0003,1.1999
13200001,-1.19925,-0.99968,0.00035,1.19987
13300001,-1.19874,-0.9995,0.00039,1.1998
13400001,-1.19876,-0.99942,0.00054,1.19977
13500001,-1.19887,-0.99946,0.00042,1.19978
13600001,-1.1991,-0.99954,0.00042,1.19982
13700001,-1.19878,-0.99948,0.00035,1.19979
13800001,-1.19914,-0.99964,0.00038,1.19986
13900001,-1.19899,-0.99952,0.0004,1.19981
14000001,-1.19939,-0.99968,0.00028,1.19987
14100001,-1.19943,-0.99978,0.00031,1.19991
14200001,-1.19935,-0.9997,0.0003,1.19988
14300001,-1.19929,-0.99966,0.0003,1.19986
14400001,-1.19942,-0.99976,0.00035,1.1999
14500001,-1.19929,-0.99966,0.00029,1.19986
14600001,-1.19931,-0.99972,0.00025,1.19989
14700001,-1.19917,-0.9996,0.00034,1.19984
14800001,-1.19937,-0.99962,0.00031,1.19985
14900001,-1.19926,-0.9996,0.00027,1.19984
15000001,-1.19937,-0.99974,0.00035,1.1999
15100001,-1.19942,-0.99974,0.00024,1.1999
15200001,-1.19916,-0.99958,0.00042,1.19983
15300001,-1.199,-0.99954,0.00038,1.19982
15400001,-1.19927,-0.99974,0.00042,1.1999
15500001,-1.19938,-0.99976,0.00029,1.1999
15600001,-1.19923,-0.99964,0.00034,1.19986
15700001,-1.19922,-0.9996,0.00034,1.19984
15800001,-1.19926,-0.99972,0.00026,1.19989
15900001,-1.19927,-0.99962,0.00031,1.19985
16000001,-1.19935,-0.99958,0.0004,1.19983
16100001,-1.19948,-0.99978,0.00034,1.19991
16200001,-1.19943,-0.99978,0.00016,1.19991
16300001,-1.19946,-0.99974,0.00022,1.1999
16400001,-1.19924,-0.99966,0.00032,1.19986
16500001,-1.19926,-0.99958,0.00044,1.19983
16600001,-1.1993,-0.99968,0.00035,1.19987
16700001,-1.19935,-0.9997,0.00039,1.19988
16800001,-1.19928,-0.99964,0.00027,1.19986
16900001,-1.19938,-0.99976,0.0004,1.1999
17000001,-1.1993,-0.99968,0.0003,1.19987
17100001,-1.19912,-0.9996,0.0003,1.19984
17200001,-1.19906,-0.99956,0.00036,1.19982
17300001,-1.19918,-0.99952,0.00038,1.19981
17400001,-1.19898,-0.99948,0.00044,1.19979
17500001,-1.19871,-0.99942,0.00045,1.19977
17600001,-1.19908,-0.9995,0.00044,1.1998
17700001,-1.19931,-0.9996,0.00039,1.19984
17800001,-1.19891,-0.99932,0.00036,1.19973
17900001,-1.19886,-0.99942,0.00053,1.19977
18000001,-1.19886,-0.99954,0.0005,1.19982
18100001,-1.19933,-0.99976,0.00043,1.1999
18200001,-1.19948,-0.99978,0.00031,1.19991
18300001,-1.19934,-0.99966,0.00024,1.19986
18400001,-1.19914,-0.99966,0.00028,1.19986
18500001,-1.19902,-0.9996,0.00027,1.19984
18600001,-1.19904,-0.99952,0.00044,1.19981
18700001,-1.19855,-0.99938,0.00057,1.19975
18800001,-1.1988,-0.9994,0.00041,1.19976
18900001,-1.19894,-0.9995,0.00035,1.1998
19000001,-1.19888,-0.99948,0.00051,1.19979
19100001,-1.1989,-0.99952,0.00042,1.19981
19200001,-1.19907,-0.9996,0.00048,1.19984
19300001,-1.19917,-0.9996,0.00034,1.19984
19400001,-1.19942,-0.99976,0.00034,1.1999
19500001,-1.19911,-0.99958,0.00033,1.19983
19600001,-1.19923,-0.99964,0.00035,1.19986
19700001,-1.19924,-0.99966,0.00031,1.19986
19800001,-1.1993,-0.9997,0.0003,1.19988
19900001,-1.19906,-0.99958,0.0003,1.19983
20000001,-1.19889,-0.99938,0.0004,1.19975
20100001,-1.19865,-0.99926,0.00062,1.1997
20200001,-1.199,-0.99942,0.00052,1.19977
20300001,-1.19919,-0.99966,0.00044,1.19986
20400001,-1.19936,-0.99972,0.00035,1.19989
20500001,-1.19911,-0.99958,0.00039,1.19983
20600001,-1.19911,-0.99958,0.0003,1.19983
20700001,-1.1993,-0.9997,0.00036,1.19988
20800001,-1.19943,-0.99978,0.00028,1.19991
20900001,-1.19946,-0.99972,0.00035,1.19989
21000001,-1.19911,-0.99958,0.00035,1.19983
21100001,-1.1991,-0.99966,0.0004,1.19986
21200001,-1.19896,-0.99944,0.00039,1.19978
21300001,-1.19878,-0.99936,0.00054,1.19974
21400001,-1.1991,-0.99954,0.00047,1.19982
21500001,-1.1991,-0.99966,0.00034,1.19986
21600001,-1.19944,-0.9998,0.00025,1.19992
21700001,-1.19939,-0.99968,0.0003,1.19987
21800001,-1.19928,-0.99964,0.00026,1.19986
21900001,-1.19925,-0.99968,0.00042,1.19987
22000001,-1.19882,-0.99944,0.00042,1.19978
22100001,-1.1991,-0.99966,0.00045,1.19986
22200001,-1.19943,-0.99978,0.00036,1.19991
22300001,-1.19902,-0.99958,0.00032,1.19983
22400001,-1.19921,-0.9997,0.00034,1.19988
22500001,-1.19936,-0.99972,0.00031,1.19989
22600001,-1.19932,-0.99974,0.00025,1.1999
22700001,-1.19942,-0.99974,0.00034,1.1999
22800001,-1.19926,-0.9997,0.00026,1.19988
22900001,-1.19933,-0.99976,0.00023,1.1999
23000001,-1.19943,-0.99978,0.00029,1.19991
23100001,-1.1991,-0.99954,0.00024,1.19982
23200001,-1.19922,-0.99962,0.00036,1.19985
