step,Energy,Magnet,acc,J
1,0.00800013,-0.009,1e-06,1.00002
1000001,-0.646462,-0.0598,0.349432,1.00072
2000001,-0.675627,-0.1816,0.326605,1.0066
3000001,-0.677762,-0.2278,0.320613,1.01038
4000001,-0.745978,-0.4348,0.284521,1.03781
5000001,-0.907698,-0.7514,0.199891,1.11292
6000001,-0.889798,-0.721,0.15316,1.10397
7000001,-0.92461,-0.7796,0.163033,1.12156
8000001,-0.849096,-0.6486,0.155695,1.08414
9000001,-0.857454,-0.6824,0.196475,1.09313
10000001,-0.878669,-0.7012,0.16581,1.09834
11000001,-0.909637,-0.7338,0.162261,1.10769
12000001,-0.861405,-0.6784,0.174459,1.09205
13000001,-0.834065,-0.6428,0.183192,1.08264
14000001,-0.922715,-0.7616,0.170342,1.11601
15000001,-0.915812,-0.7464,0.16672,1.11142
16000001,-0.902726,-0.7456,0.157726,1.11118
17000001,-0.907531,-0.7416,0.155994,1.10999
18000001,-0.905314,-0.7324,0.151412,1.10728
19000001,-0.889778,-0.7152,0.173178,1.1023
20000001,-0.923154,-0.7598,0.158709,1.11546
21000001,-0.906671,-0.7472,0.164583,1.11166
22000001,-0.892588,-0.7216,0.153334,1.10414
23000001,-0.940158,-0.7704,0.16587,1.1187
24000001,-0.913831,-0.7546,0.153693,1.11388
25000001,-0.907233,-0.7422,0.153754,1.11017
26000001,-0.91581,-0.7536,0.155123,1.11358
27000001,-0.891602,-0.7306,0.155783,1.10676
28000001,-0.895747,-0.72,0.165783,1.10368
29000001,-0.829318,-0.6296,0.176252,1.07928
30000001,-0.904432,-0.7398,0.178513,1.10946
31000001,-0.921838,-0.7402,0.150366,1.10958
32000001,-0.86964,-0.708,0.164997,1.10025
33000001,-0.877585,-0.7042,0.170635,1.09918
34000001,-0.913982,-0.748,0.150119,1.1119
35000001,-0.910731,-0.7438,0.149557,1.11065
36000001,-0.93412,-0.7678,0.147042,1.1179
37000001,-0.903877,-0.7338,0.145048,1.10769
38000001,-0.892728,-0.7222,0.168788,1.10431
39000001,-0.892593,-0.7254,0.159564,1.10524
40000001,-0.88873,-0.7202,0.150432,1.10374
