step,Energy,Magnet,acc,J
1,0.00800013,-0.009,1.00E-06,1.00002
1000001,-0.676401,0.0024,0.349607,1
2000001,-0.652023,-0.0132,0.346202,1.00003
3000001,-0.670258,0.13,0.338856,1.00338
4000001,-0.666733,0.1632,0.32959,1.00533
5000001,-0.709566,0.3604,0.31084,1.02598
6000001,-0.745075,0.4506,0.281797,1.04061
7000001,-0.738422,0.4408,0.264865,1.03886
8000001,-0.775441,0.5286,0.253741,1.05588
9000001,-0.810723,0.6016,0.226703,1.07238
10000001,-0.865186,0.6858,0.192023,1.09406
11000001,-0.839676,0.6492,0.207169,1.08429
12000001,-0.851849,0.6662,0.208311,1.08876
13000001,-0.81484,0.61,0.212649,1.07442
14000001,-0.79446,0.5674,0.225557,1.06439
15000001,-0.904045,0.7308,0.199943,1.10681
16000001,-0.893701,0.7188,0.174182,1.10333
17000001,-0.839766,0.6518,0.187667,1.08497
18000001,-0.874381,0.7056,0.196281,1.09957
19000001,-0.824741,0.626,0.183862,1.07838
20000001,-0.824053,0.611,0.207295,1.07466
21000001,-0.824718,0.5914,0.205134,1.06995
22000001,-0.805643,0.573,0.218736,1.06567
23000001,-0.797845,0.5572,0.224241,1.06209
24000001,-0.847673,0.648,0.222318,1.08398
25000001,-0.852758,0.658,0.195192,1.08659
26000001,-0.816426,0.6116,0.187676,1.07481
27000001,-0.818818,0.6152,0.2003,1.07569
28000001,-0.801646,0.5892,0.205932,1.06943
29000001,-0.790707,0.5474,0.223143,1.05993
30000001,-0.829045,0.6124,0.224119,1.07501
31000001,-0.815734,0.6032,0.212036,1.07277
32000001,-0.790022,0.5458,0.217955,1.05958
33000001,-0.900642,0.7388,0.199785,1.10917
34000001,-0.850978,0.6578,0.175385,1.08654
35000001,-0.88479,0.7146,0.178882,1.10213
36000001,-0.90974,0.7452,0.157715,1.11106
37000001,-0.797714,0.564,0.181498,1.06362
38000001,-0.817137,0.5968,0.222162,1.07123
39000001,-0.753314,0.487,0.233891,1.04743
40000001,-0.781667,0.5306,0.239438,1.05631
41000001,-0.822607,0.644,0.224555,1.08295
42000001,-0.800599,0.5808,0.20079,1.06747
43000001,-0.896901,0.7268,0.204048,1.10565
44000001,-0.877706,0.7164,0.168108,1.10265
45000001,-0.863956,0.6882,0.179583,1.09472
46000001,-0.846859,0.6504,0.187219,1.0846
47000001,-0.833122,0.618,0.205212,1.07638
48000001,-0.873462,0.6916,0.192014,1.09566
49000001,-0.777802,0.5302,0.205863,1.05622
50000001,-0.826065,0.6284,0.211445,1.07898
51000001,-0.781251,0.5466,0.225555,1.05975
52000001,-0.771043,0.5192,0.231141,1.05391
53000001,-0.811755,0.6002,0.220801,1.07205
54000001,-0.851085,0.6688,0.196481,1.08946
55000001,-0.886186,0.713,0.172493,1.10167
56000001,-0.873168,0.6982,0.18762,1.0975
57000001,-0.802292,0.5634,0.194466,1.06348
58000001,-0.796742,0.5708,0.227791,1.06516
59000001,-0.794899,0.5824,0.232366,1.06784
60000001,-0.85668,0.6726,0.203965,1.09048
61000001,-0.839846,0.6522,0.188292,1.08507
62000001,-0.834061,0.6384,0.190037,1.08151
63000001,-0.816878,0.6094,0.227857,1.07427
64000001,-0.783776,0.5798,0.198178,1.06723
65000001,-0.800147,0.5658,0.21522,1.06403
66000001,-0.842461,0.6458,0.224118,1.08341
67000001,-0.864261,0.6896,0.201363,1.09511
68000001,-0.899603,0.7326,0.173487,1.10734
69000001,-0.867372,0.6878,0.179458,1.09461
70000001,-0.90613,0.7358,0.187598,1.10828
71000001,-0.883419,0.7086,0.174774,1.10042
72000001,-0.837781,0.6484,0.178647,1.08408
73000001,-0.814871,0.6148,0.19591,1.0756
74000001,-0.825202,0.6284,0.186372,1.07898
75000001,-0.761739,0.5048,0.222586,1.05096
76000001,-0.815455,0.611,0.226245,1.07466
77000001,-0.828139,0.6302,0.201524,1.07943
78000001,-0.776393,0.532,0.213935,1.0566
79000001,-0.816655,0.6012,0.222286,1.07229
80000001,-0.895425,0.7224,0.176872,1.10437
81000001,-0.822787,0.6248,0.190364,1.07808
82000001,-0.790381,0.5634,0.206509,1.06348
83000001,-0.827791,0.6194,0.206838,1.07673
84000001,-0.885028,0.706,0.191121,1.09969
85000001,-0.832763,0.6384,0.179686,1.08151
86000001,-0.871708,0.6836,0.203472,1.09346
87000001,-0.889102,0.718,0.176528,1.1031
88000001,-0.879063,0.701,0.165941,1.09828
89000001,-0.837387,0.6486,0.196526,1.08414
90000001,-0.876554,0.6996,0.194277,1.09789
91000001,-0.83479,0.6222,0.195735,1.07743
92000001,-0.845747,0.6556,0.185997,1.08596
93000001,-0.87754,0.704,0.187422,1.09912
94000001,-0.83697,0.6312,0.188766,1.07968
95000001,-0.858353,0.6702,0.193053,1.08983
96000001,-0.881654,0.7008,0.165211,1.09822
97000001,-0.876152,0.6978,0.185855,1.09738
98000001,-0.832142,0.6308,0.184325,1.07958
99000001,-0.864169,0.6952,0.183336,1.09666
100000001,-0.815397,0.613,0.197327,1.07515
101000001,-0.809817,0.5798,0.224192,1.06723
102000001,-0.822032,0.6366,0.201494,1.08105
103000001,-0.848643,0.6738,0.193992,1.0908
104000001,-0.853712,0.6792,0.167923,1.09226
105000001,-0.852335,0.6496,0.196532,1.0844
106000001,-0.848993,0.6566,0.194169,1.08622
107000001,-0.846494,0.6486,0.19695,1.08414
108000001,-0.825866,0.6206,0.20861,1.07703
109000001,-0.818919,0.6294,0.196226,1.07923
110000001,-0.833009,0.6286,0.19418,1.07903
111000001,-0.819844,0.6252,0.201189,1.07818
112000001,-0.863547,0.6782,0.174905,1.09199
113000001,-0.855845,0.6624,0.178519,1.08775
114000001,-0.890183,0.7016,0.189468,1.09845
115000001,-0.835321,0.6404,0.190842,1.08202
116000001,-0.839435,0.648,0.18744,1.08398
117000001,-0.821455,0.6086,0.197447,1.07408
118000001,-0.816216,0.5988,0.228681,1.07171
119000001,-0.785977,0.5496,0.215164,1.06041
120000001,-0.839018,0.624,0.22371,1.07788
121000001,-0.800087,0.5852,0.220682,1.06849
122000001,-0.753276,0.456,0.243822,1.04159
123000001,-0.71646,0.3756,0.254032,1.02822
124000001,-0.658009,0.1464,0.30929,1.00429
125000001,-0.694881,0.3024,0.315612,1.01829
126000001,-0.660236,0.1044,0.323774,1.00218
127000001,-0.650504,0.0834,0.339077,1.00139
128000001,-0.646007,-0.0076,0.344325,1.00001
129000001,-0.668202,0.1398,0.341679,1.00391
130000001,-0.661347,0.1496,0.334631,1.00448
131000001,-0.648552,0.0342,0.329423,1.00023
132000001,-0.649824,0.1048,0.339867,1.0022
133000001,-0.653658,0.0592,0.341876,1.0007
134000001,-0.664979,0.1598,0.340025,1.00511
135000001,-0.648564,0.0356,0.332863,1.00025
136000001,-0.657683,0.082,0.3402,1.00134
137000001,-0.661237,0.0796,0.338906,1.00127
138000001,-0.657382,0.1404,0.326294,1.00394
139000001,-0.657572,-0.0532,0.343262,1.00057
140000001,-0.657547,-0.0754,0.342081,1.00114
141000001,-0.657971,-0.1556,0.338937,1.00484
142000001,-0.644585,-0.1304,0.337208,1.0034
143000001,-0.64786,-0.0448,0.342982,1.0004
144000001,-0.678433,-0.1226,0.341021,1.00301
145000001,-0.686339,-0.2924,0.321933,1.0171
146000001,-0.682749,-0.2488,0.301284,1.01238
147000001,-0.691797,-0.268,0.316462,1.01436
148000001,-0.662762,-0.1734,0.316755,1.00601
149000001,-0.658378,-0.1096,0.335089,1.0024
150000001,-0.652228,0.0418,0.342549,1.00035
151000001,-0.664846,0.0186,0.343978,1.00007
152000001,-0.666125,0.0834,0.342122,1.00139
153000001,-0.6472,-0.0008,0.343237,1
154000001,-0.663478,-0.0458,0.345187,1.00042
155000001,-0.64921,0.0088,0.345409,1.00002
156000001,-0.674318,0.1062,0.344307,1.00226
157000001,-0.648801,0.0786,0.330012,1.00124
158000001,-0.671877,-0.0454,0.345526,1.00041
159000001,-0.657186,-0.0774,0.344704,1.0012
160000001,-0.648966,-0.0358,0.344012,1.00026
161000001,-0.653702,-0.062,0.344033,1.00077
162000001,-0.652948,-0.0648,0.346078,1.00084
163000001,-0.668814,0.1904,0.339622,1.00725
164000001,-0.6556,0.0018,0.341907,1
165000001,-0.647509,0.1216,0.340839,1.00296
166000001,-0.674187,0.2152,0.331008,1.00926
167000001,-0.726537,0.3964,0.31153,1.03143
168000001,-0.736835,0.4414,0.268141,1.03897
169000001,-0.76542,0.5098,0.254858,1.05198
170000001,-0.850699,0.6732,0.198277,1.09064
171000001,-0.879293,0.6922,0.193875,1.09583
