step,Energy,Magnet,acc,J
1,0.0014,0.0026,1e-05,1
100001,-0.466561,-0.00252,0.59308,1
200001,-0.602884,-0.00592,0.42284,1.00001
300001,-0.664294,-0.01038,0.34631,1.00002
400001,-0.701524,-0.00526,0.30486,1.00001
500001,-0.72324,-0.00166,0.27872,1
600001,-0.736406,-0.00622,0.2671,1.00001
700001,-0.747481,-0.00224,0.25541,1
800001,-0.755201,-0.00234,0.24645,1
900001,-0.75973,-0.0082,0.23777,1.00001
1000001,-0.76629,-0.00798,0.23505,1.00001
1100001,-0.769745,-0.01276,0.22963,1.00003
1200001,-0.770771,-0.01818,0.22711,1.00007
1300001,-0.773564,-0.01684,0.22521,1.00006
1400001,-0.774443,-0.0231,0.22575,1.00011
1500001,-0.777126,-0.02358,0.2209,1.00011
1600001,-0.778597,-0.0318,0.21949,1.0002
1700001,-0.783029,-0.03476,0.21708,1.00024
1800001,-0.781787,-0.03808,0.21578,1.00029
1900001,-0.782623,-0.03778,0.21537,1.00029
2000001,-0.782782,-0.04392,0.21617,1.00039
2100001,-0.784234,-0.05012,0.2138,1.0005
2200001,-0.782099,-0.05178,0.21399,1.00054
2300001,-0.785474,-0.05724,0.21233,1.00066
2400001,-0.784858,-0.0607,0.21003,1.00074
2500001,-0.784743,-0.06886,0.21128,1.00095
2600001,-0.785786,-0.07428,0.21037,1.0011
2700001,-0.785671,-0.07948,0.2088,1.00126
2800001,-0.787308,-0.08396,0.21096,1.00141
2900001,-0.7855,-0.08818,0.20975,1.00156
3000001,-0.786244,-0.09854,0.20942,1.00194
3100001,-0.789382,-0.10874,0.20864,1.00236
3200001,-0.785516,-0.11732,0.20725,1.00275
3300001,-0.787058,-0.12516,0.2101,1.00313
3400001,-0.791235,-0.13504,0.20532,1.00365
3500001,-0.793537,-0.14704,0.20202,1.00432
3600001,-0.792453,-0.15792,0.2003,1.00499
3700001,-0.797674,-0.17532,0.19962,1.00615
3800001,-0.79456,-0.18566,0.19849,1.00689
3900001,-0.797797,-0.19976,0.19589,1.00798
4000001,-0.802889,-0.21872,0.19614,1.00957
4100001,-0.805319,-0.23502,0.18977,1.01105
4200001,-0.807582,-0.25318,0.18892,1.01282
4300001,-0.810781,-0.27708,0.18503,1.01535
4400001,-0.815061,-0.3001,0.18209,1.01801
4500001,-0.821171,-0.32794,0.17834,1.02151
4600001,-0.829013,-0.35706,0.17636,1.0255
4700001,-0.836666,-0.38316,0.16877,1.02936
4800001,-0.84104,-0.40442,0.16431,1.03271
4900001,-0.850063,-0.43664,0.16089,1.03813
5000001,-0.861621,-0.46598,0.15185,1.04343
5100001,-0.87045,-0.4967,0.1471,1.04934
5200001,-0.882799,-0.52666,0.14182,1.05547
5300001,-0.894868,-0.55692,0.13475,1.06203
5400001,-0.907275,-0.58776,0.12802,1.06909
5500001,-0.920573,-0.61456,0.12292,1.07554
5600001,-0.932975,-0.64748,0.11316,1.08385
5700001,-0.952979,-0.68252,0.10596,1.09317
5800001,-0.971589,-0.71318,0.09831,1.10173
5900001,-0.985141,-0.73822,0.0888,1.10899
6000001,-1.00118,-0.76676,0.08275,1.11758
6100001,-1.01628,-0.79198,0.07625,1.12545
6200001,-1.03241,-0.81614,0.06994,1.13322
6300001,-1.04787,-0.83866,0.06446,1.14067
6400001,-1.06312,-0.86004,0.05817,1.14793
6500001,-1.07641,-0.87696,0.05204,1.15381
6600001,-1.08786,-0.89182,0.04697,1.15907
6700001,-1.10108,-0.90792,0.04205,1.16486
6800001,-1.11011,-0.91824,0.03702,1.16863
6900001,-1.11901,-0.92758,0.03425,1.17208
7000001,-1.12766,-0.93734,0.03078,1.17572
7100001,-1.13275,-0.94362,0.02812,1.17808
7200001,-1.13733,-0.94842,0.02594,1.1799
7300001,-1.14216,-0.95374,0.02428,1.18192
7400001,-1.14665,-0.95934,0.02348,1.18407
7500001,-1.14992,-0.96328,0.02071,1.18558
7600001,-1.15612,-0.96892,0.0204,1.18776
7700001,-1.15771,-0.97136,0.01888,1.18871
7800001,-1.16047,-0.97414,0.01767,1.18979
7900001,-1.16098,-0.97522,0.01764,1.19021
8000001,-1.16314,-0.9774,0.01687,1.19106
8100001,-1.16476,-0.97802,0.01701,1.1913
8200001,-1.16445,-0.97832,0.01643,1.19142
8300001,-1.16668,-0.97942,0.01569,1.19185
8400001,-1.16666,-0.98012,0.01535,1.19213
8500001,-1.16451,-0.97924,0.01492,1.19178
8600001,-1.1643,-0.97868,0.01576,1.19156
8700001,-1.16808,-0.98084,0.01534,1.19241
8800001,-1.16821,-0.9813,0.01407,1.19259
8900001,-1.16934,-0.98176,0.01401,1.19277
9000001,-1.16853,-0.98126,0.01417,1.19257
9100001,-1.16797,-0.98116,0.01455,1.19253
9200001,-1.16797,-0.9814,0.01542,1.19263
9300001,-1.16834,-0.98164,0.01522,1.19272
9400001,-1.16823,-0.98158,0.01487,1.1927
9500001,-1.16849,-0.98152,0.01469,1.19268
9600001,-1.16939,-0.98212,0.01446,1.19291
9700001,-1.16834,-0.98138,0.01467,1.19262
9800001,-1.16732,-0.98134,0.01578,1.19261
9900001,-1.16658,-0.9804,0.01549,1.19224
10000001,-1.16496,-0.97978,0.01537,1.19199
10100001,-1.16691,-0.98014,0.01584,1.19213
10200001,-1.16574,-0.98008,0.01615,1.19211
10300001,-1.16669,-0.98068,0.01602,1.19235
10400001,-1.16845,-0.9818,0.01476,1.19279
10500001,-1.16719,-0.98148,0.01494,1.19266
10600001,-1.17049,-0.98312,0.01444,1.1933
10700001,-1.16885,-0.98196,0.01438,1.19285
10800001,-1.16964,-0.98266,0.01473,1.19312
10900001,-1.1699,-0.98296,0.01381,1.19324
11000001,-1.17087,-0.983,0.0135,1.19326
11100001,-1.16826,-0.98216,0.01396,1.19293
11200001,-1.16954,-0.98276,0.01436,1.19316
11300001,-1.16676,-0.981,0.01504,1.19247
11400001,-1.16764,-0.98166,0.01513,1.19273
11500001,-1.16833,-0.98198,0.01452,1.19286
11600001,-1.16938,-0.9826,0.01451,1.1931
11700001,-1.17049,-0.98336,0.01346,1.1934
11800001,-1.17,-0.98284,0.01346,1.19319
11900001,-1.17064,-0.98326,0.01373,1.19336
12000001,-1.17411,-0.9852,0.01331,1.19412
12100001,-1.17226,-0.98424,0.01316,1.19375
12200001,-1.1699,-0.98296,0.01294,1.19324
12300001,-1.17114,-0.9837,0.01395,1.19353
12400001,-1.17241,-0.98402,0.01294,1.19366
12500001,-1.16936,-0.98218,0.013,1.19294
12600001,-1.16886,-0.98162,0.01474,1.19272
12700001,-1.16906,-0.98202,0.01444,1.19287
12800001,-1.17022,-0.9828,0.01429,1.19318
12900001,-1.16985,-0.98258,0.01441,1.19309
13000001,-1.1687,-0.98256,0.01407,1.19308
13100001,-1.1686,-0.98194,0.01515,1.19284
13200001,-1.16862,-0.98186,0.01458,1.19281
13300001,-1.16849,-0.98214,0.01464,1.19292
13400001,-1.16928,-0.9827,0.014,1.19314
13500001,-1.16953,-0.98188,0.01425,1.19282
13600001,-1.16976,-0.9821,0.01413,1.1929
13700001,-1.16968,-0.98226,0.01384,1.19297
13800001,-1.16897,-0.98214,0.01482,1.19292
13900001,-1.16927,-0.98218,0.0142,1.19294
14000001,-1.16995,-0.98334,0.01444,1.19339
14100001,-1.17242,-0.98416,0.01375,1.19371
14200001,-1.17254,-0.98434,0.01319,1.19379
14300001,-1.17075,-0.98318,0.01368,1.19333
14400001,-1.17075,-0.98318,0.01386,1.19333
14500001,-1.1699,-0.9827,0.01398,1.19314
14600001,-1.1706,-0.9828,0.01385,1.19318
14700001,-1.17111,-0.983,0.01442,1.19326
14800001,-1.17026,-0.98264,0.01316,1.19312
14900001,-1.17143,-0.98334,0.01373,1.19339
15000001,-1.17119,-0.98408,0.01375,1.19368
15100001,-1.17073,-0.98386,0.01329,1.1936
15200001,-1.17036,-0.98292,0.01417,1.19323
15300001,-1.17095,-0.98308,0.01352,1.19329
15400001,-1.16907,-0.9824,0.01346,1.19302
15500001,-1.16939,-0.983,0.01412,1.19326
15600001,-1.17067,-0.98322,0.01407,1.19334
15700001,-1.17096,-0.98398,0.01424,1.19364
15800001,-1.16963,-0.98274,0.01468,1.19316
15900001,-1.16958,-0.98212,0.01393,1.19291
16000001,-1.17092,-0.9825,0.01377,1.19306
16100001,-1.16948,-0.98262,0.01434,1.19311
16200001,-1.16921,-0.9824,0.01471,1.19302
16300001,-1.16693,-0.98094,0.01485,1.19245
16400001,-1.1675,-0.98106,0.01504,1.1925
