step,Energy,Magnet,acc,J
1,0.0014,0.0026,1e-05,1
100001,-0.477921,0.00254,0.58371,1
200001,-0.624042,0.00406,0.4065,1
300001,-0.696164,0.0052,0.31507,1.00001
400001,-0.741002,0.00346,0.26861,1
500001,-0.77093,0.00806,0.23334,1.00001
600001,-0.793788,0.01332,0.21111,1.00004
700001,-0.810803,0.0163,0.18859,1.00005
800001,-0.824972,0.01776,0.17617,1.00006
900001,-0.836533,0.02358,0.16553,1.00011
1000001,-0.845478,0.03054,0.15232,1.00019
1100001,-0.85411,0.03666,0.14688,1.00027
1200001,-0.860352,0.04262,0.13804,1.00036
1300001,-0.86543,0.04986,0.13186,1.0005
1400001,-0.870721,0.0568,0.12541,1.00065
1500001,-0.875754,0.06562,0.12147,1.00086
1600001,-0.880548,0.07644,0.11655,1.00117
1700001,-0.884896,0.09078,0.11141,1.00165
1800001,-0.888194,0.10818,0.10684,1.00234
1900001,-0.892347,0.12516,0.10225,1.00313
2000001,-0.896282,0.13964,0.09844,1.0039
2100001,-0.90037,0.15616,0.09326,1.00488
2200001,-0.905363,0.18022,0.08943,1.0065
2300001,-0.909956,0.20352,0.08553,1.00828
2400001,-0.915018,0.22656,0.08108,1.01027
2500001,-0.919612,0.25198,0.07755,1.0127
2600001,-0.924608,0.27694,0.07512,1.01534
2700001,-0.93071,0.30528,0.07149,1.01864
2800001,-0.936682,0.335,0.06846,1.02245
2900001,-0.943417,0.36662,0.06557,1.02688
3000001,-0.951599,0.40148,0.06119,1.03224
3100001,-0.959251,0.43236,0.05872,1.03739
3200001,-0.969103,0.46772,0.05508,1.04375
3300001,-0.979196,0.50274,0.04991,1.05055
3400001,-0.989915,0.53582,0.04728,1.05742
3500001,-1.00038,0.56792,0.04297,1.06451
3600001,-1.01186,0.5999,0.03981,1.07198
3700001,-1.0225,0.63064,0.03671,1.07954
3800001,-1.03292,0.6601,0.03377,1.08715
3900001,-1.04411,0.68874,0.03162,1.09487
4000001,-1.05484,0.71578,0.0294,1.10247
4100001,-1.066,0.74054,0.02652,1.10968
4200001,-1.07634,0.76456,0.02437,1.11691
4300001,-1.08671,0.78706,0.02229,1.12389
4400001,-1.09618,0.80648,0.01949,1.13008
4500001,-1.10572,0.8257,0.01833,1.13636
4600001,-1.11382,0.84318,0.01666,1.14219
4700001,-1.12189,0.85988,0.01537,1.14788
4800001,-1.12929,0.87462,0.01323,1.15299
4900001,-1.13654,0.88866,0.01242,1.15794
5000001,-1.14312,0.90088,0.01081,1.16232
5100001,-1.14876,0.9116,0.00886,1.1662
5200001,-1.15435,0.92152,0.00848,1.16984
5300001,-1.15911,0.93004,0.00738,1.17299
5400001,-1.16347,0.93792,0.00674,1.17594
5500001,-1.16747,0.94448,0.00578,1.17841
5600001,-1.17115,0.95088,0.00514,1.18083
5700001,-1.17406,0.95582,0.00425,1.18272
5800001,-1.17687,0.96034,0.00406,1.18445
5900001,-1.17936,0.96474,0.00372,1.18614
6000001,-1.18162,0.96826,0.00316,1.18751
6100001,-1.1832,0.97126,0.00244,1.18867
6200001,-1.18473,0.9736,0.00243,1.18958
6300001,-1.18645,0.97644,0.00218,1.19069
6400001,-1.18779,0.97878,0.00191,1.1916
6500001,-1.18881,0.98078,0.0017,1.19239
6600001,-1.18999,0.9827,0.00162,1.19314
6700001,-1.19124,0.98466,0.0015,1.19391
6800001,-1.19195,0.98612,0.00133,1.19449
6900001,-1.19303,0.98788,0.00134,1.19518
7000001,-1.19372,0.98926,0.00115,1.19573
7100001,-1.19434,0.9906,0.00113,1.19626
7200001,-1.19505,0.9919,0.00095,1.19677
7300001,-1.19562,0.99274,0.0007,1.19711
7400001,-1.19615,0.99384,0.00083,1.19754
7500001,-1.19667,0.9949,0.00067,1.19797
7600001,-1.19695,0.99548,0.00049,1.1982
7700001,-1.19734,0.99598,0.00045,1.1984
7800001,-1.19758,0.99634,0.0004,1.19854
7900001,-1.19801,0.99706,0.00054,1.19883
8000001,-1.19829,0.99752,0.00041,1.19901
8100001,-1.19851,0.99794,0.00037,1.19918
8200001,-1.19866,0.99832,0.00031,1.19933
8300001,-1.19894,0.99868,0.0003,1.19947
8400001,-1.19903,0.99914,0.00035,1.19966
8500001,-1.19909,0.99928,0.00025,1.19971
8600001,-1.19939,0.99956,0.00018,1.19982
8700001,-1.19942,0.99964,0.0002,1.19986
8800001,-1.19962,0.99978,0.00015,1.19991
8900001,-1.19989,0.99996,0.00015,1.19998
9000001,-1.19983,0.99994,3e-05,1.19998
9100001,-1.19983,0.99994,6e-05,1.19998
9200001,-1.2,1,5e-05,1.2
9300001,-1.2,1,0,1.2
9400001,-1.2,1,0,1.2
9500001,-1.19994,0.99998,1e-05,1.19999
9600001,-1.19994,0.99998,2e-05,1.19999
9700001,-1.19994,0.99998,4e-05,1.19999
9800001,-1.19989,0.99996,5e-05,1.19998
9900001,-1.19978,0.99992,6e-05,1.19997
10000001,-1.19977,0.9999,7e-05,1.19996
10100001,-1.19977,0.9999,0.00018,1.19996
10200001,-1.19982,0.9999,8e-05,1.19996
10300001,-1.2,1,5e-05,1.2
10400001,-1.19983,0.99994,3e-05,1.19998
10500001,-1.19983,0.99994,4e-05,1.19998
10600001,-1.19986,0.9999,8e-05,1.19996
10700001,-1.19986,0.9999,2e-05,1.19996
10800001,-1.19982,0.9999,6e-05,1.19996
10900001,-1.19988,0.99994,0.0001,1.19998
11000001,-1.19994,0.99998,2e-05,1.19999
11100001,-1.19983,0.99994,8e-05,1.19998
11200001,-1.19989,0.99996,5e-05,1.19998
11300001,-1.19989,0.99996,2e-05,1.19998
11400001,-1.19987,0.99992,6e-05,1.19997
11500001,-1.19983,0.99994,3e-05,1.19998
11600001,-1.19988,0.99994,8e-05,1.19998
11700001,-1.19994,0.99996,3e-05,1.19998
11800001,-1.2,1,2e-05,1.2
11900001,-1.2,1,2e-05,1.2
12000001,-1.19989,0.99996,6e-05,1.19998
12100001,-1.19975,0.99986,9e-05,1.19994
12200001,-1.1998,0.99986,8e-05,1.19994
12300001,-1.19979,0.99984,7e-05,1.19994
12400001,-1.19975,0.99986,5e-05,1.19994
12500001,-1.19976,0.99988,9e-05,1.19995
12600001,-1.19989,0.99996,8e-05,1.19998
12700001,-1.19989,0.99996,4e-05,1.19998
12800001,-1.19994,0.99998,5e-05,1.19999
12900001,-1.19994,0.99998,0,1.19999
13000001,-1.19982,0.9999,4e-05,1.19996
13100001,-1.2,1,5e-05,1.2
13200001,-1.19983,0.99994,3e-05,1.19998
13300001,-1.19987,0.99992,5e-05,1.19997
13400001,-1.19982,0.9999,3e-05,1.19996
13500001,-1.2,1,5e-05,1.2
13600001,-1.19994,0.99998,3e-05,1.19999
13700001,-1.19978,0.99992,5e-05,1.19997
13800001,-1.19993,0.99994,5e-05,1.19998
13900001,-1.19982,0.99992,5e-05,1.19997
14000001,-1.19982,0.9999,7e-05,1.19996
14100001,-1.19987,0.99992,5e-05,1.19997
14200001,-1.19994,0.99996,4e-05,1.19998
14300001,-1.2,1,2e-05,1.2
14400001,-1.2,1,6e-05,1.2
14500001,-1.19989,0.99996,2e-05,1.19998
14600001,-1.19994,0.99998,3e-05,1.19999
14700001,-1.19994,0.99996,5e-05,1.19998
14800001,-1.19994,0.99998,3e-05,1.19999
14900001,-1.2,1,5e-05,1.2
15000001,-1.19989,0.99996,2e-05,1.19998
15100001,-1.19983,0.99994,3e-05,1.19998
15200001,-1.19982,0.99992,5e-05,1.19997
15300001,-1.19983,0.99994,0.00011,1.19998
15400001,-1.19983,0.99994,6e-05,1.19998
15500001,-1.19977,0.9999,0.0001,1.19996
15600001,-1.19994,0.99998,8e-05,1.19999
15700001,-1.2,1,1e-05,1.2
15800001,-1.2,1,0,1.2
15900001,-1.2,1,0,1.2
16000001,-1.2,1,0,1.2
16100001,-1.19994,0.99998,1e-05,1.19999
16200001,-1.2,1,5e-05,1.2
16300001,-1.19994,0.99998,1e-05,1.19999
16400001,-1.2,1,1e-05,1.2
16500001,-1.19983,0.99994,5e-05,1.19998
16600001,-1.19977,0.9999,0.0001,1.19996
