step,Energy,Magnet,acc,J
1,0.00800013,-0.009,1e-06,1.00002
1000001,-0.6696,0.0014,0.347338,1
2000001,-0.65842,0.1358,0.33963,1.00369
3000001,-0.64947,0.0456,0.341321,1.00042
4000001,-0.661377,0.0366,0.338027,1.00027
5000001,-0.659225,0.0568,0.342237,1.00065
6000001,-0.658909,-0.0288,0.343488,1.00017
7000001,-0.650174,0.0866,0.339701,1.0015
8000001,-0.63842,0.0124,0.342047,1.00003
9000001,-0.67342,0.0404,0.344818,1.00033
10000001,-0.664238,0.1412,0.337182,1.00399
11000001,-0.677281,0.2518,0.319073,1.01268
12000001,-0.67018,0.139,0.320018,1.00386
13000001,-0.686191,0.2634,0.32377,1.01388
14000001,-0.654293,0.173,0.316252,1.00599
15000001,-0.664306,0.143,0.333454,1.00409
16000001,-0.656621,0.0688,0.338785,1.00095
17000001,-0.661346,0.139,0.338073,1.00386
18000001,-0.658926,0.1004,0.324665,1.00202
19000001,-0.676101,0.2062,0.323561,1.0085
20000001,-0.669511,0.1714,0.327666,1.00588
21000001,-0.670064,0.1912,0.328079,1.00731
22000001,-0.669726,0.2002,0.320393,1.00802
23000001,-0.675735,0.2814,0.319948,1.01584
24000001,-0.695613,0.3476,0.300379,1.02417
25000001,-0.688785,0.2712,0.297096,1.01471
26000001,-0.700624,0.3486,0.306747,1.0243
27000001,-0.662839,0.1242,0.304534,1.00309
28000001,-0.717911,0.3494,0.304954,1.02442
29000001,-0.706219,0.3112,0.300777,1.01937
30000001,-0.675667,0.1982,0.326849,1.00786
31000001,-0.673669,0.206,0.327285,1.00849
32000001,-0.694332,0.2906,0.319761,1.01689
33000001,-0.698159,0.3398,0.299288,1.02309
34000001,-0.854207,0.6566,0.228772,1.08622
35000001,-0.897004,0.7216,0.176589,1.10414
36000001,-0.898928,0.7372,0.166148,1.10869
37000001,-0.914276,0.7546,0.158431,1.11388
38000001,-0.9119,0.7594,0.154514,1.11534
39000001,-0.895418,0.711,0.16174,1.1011
40000001,-0.868337,0.6862,0.17078,1.09417
41000001,-0.83745,0.6424,0.190071,1.08254
42000001,-0.826084,0.624,0.193092,1.07788
43000001,-0.901353,0.7436,0.168546,1.11059
44000001,-0.8898,0.7172,0.168118,1.10288
45000001,-0.875846,0.7082,0.177131,1.10031
46000001,-0.900619,0.735,0.16752,1.10804
47000001,-0.914474,0.7518,0.176004,1.11304
48000001,-0.879314,0.6982,0.167462,1.0975
49000001,-0.89956,0.7212,0.176159,1.10403
50000001,-0.899499,0.7488,0.168576,1.11214
51000001,-0.897267,0.7246,0.159425,1.10501
52000001,-0.870656,0.6868,0.178671,1.09434
53000001,-0.869621,0.702,0.173494,1.09856
54000001,-0.882364,0.702,0.164168,1.09856
55000001,-0.906879,0.7444,0.169648,1.11083
56000001,-0.904667,0.7334,0.157151,1.10758
57000001,-0.887014,0.7166,0.160538,1.1027
58000001,-0.827391,0.6308,0.172981,1.07958
59000001,-0.82147,0.5994,0.189899,1.07186
60000001,-0.851177,0.6734,0.201056,1.09069
61000001,-0.855501,0.667,0.190904,1.08898
62000001,-0.91202,0.7418,0.164648,1.11005
63000001,-0.901766,0.7268,0.159665,1.10565
64000001,-0.907798,0.7372,0.152492,1.10869
65000001,-0.855315,0.6744,0.16774,1.09096
66000001,-0.892358,0.7244,0.175596,1.10495
67000001,-0.874556,0.6906,0.163909,1.09539
68000001,-0.883612,0.7248,0.169325,1.10507
69000001,-0.864445,0.6844,0.159894,1.09368
70000001,-0.853239,0.6666,0.187745,1.08887
71000001,-0.869605,0.688,0.166923,1.09467
72000001,-0.887353,0.7104,0.180606,1.10093
73000001,-0.815551,0.6022,0.186365,1.07253
74000001,-0.886567,0.728,0.179191,1.106
75000001,-0.852784,0.681,0.164337,1.09275
76000001,-0.902739,0.7346,0.179618,1.10793
77000001,-0.900033,0.7344,0.156595,1.10787
78000001,-0.873881,0.7112,0.17141,1.10116
79000001,-0.886383,0.7196,0.173822,1.10356
80000001,-0.881901,0.7116,0.171544,1.10127
81000001,-0.881235,0.7164,0.160954,1.10265
82000001,-0.862204,0.6678,0.178407,1.08919
83000001,-0.848371,0.6808,0.181503,1.0927
84000001,-0.881777,0.7226,0.165713,1.10443
85000001,-0.83206,0.6326,0.17423,1.08004
86000001,-0.892726,0.7146,0.179944,1.10213
87000001,-0.830837,0.644,0.171179,1.08295
88000001,-0.872633,0.6778,0.188839,1.09188
89000001,-0.874391,0.6958,0.17815,1.09683
90000001,-0.888995,0.7118,0.17484,1.10133
91000001,-0.878759,0.7094,0.157856,1.10065
92000001,-0.871429,0.714,0.168335,1.10196
93000001,-0.850687,0.6648,0.167984,1.08839
94000001,-0.845911,0.6564,0.176094,1.08617
95000001,-0.883405,0.7124,0.180938,1.1015
96000001,-0.872802,0.6886,0.177535,1.09483
97000001,-0.826937,0.6262,0.190368,1.07843
98000001,-0.871191,0.6972,0.177479,1.09722
99000001,-0.857234,0.6628,0.190856,1.08786
