step,Energy,Magnet,acc,J
1,-0.0028,0.0002,1e-06,1
1000001,-0.73941,-0.4114,0.313566,1.03385
2000001,-0.988517,-0.8332,0.153527,1.13884
3000001,-1.00833,-0.8432,0.100042,1.1422
4000001,-0.982407,-0.8246,0.100631,1.13599
5000001,-1.01948,-0.8604,0.098245,1.14806
6000001,-1.00943,-0.853,0.099325,1.14552
7000001,-1.02438,-0.8644,0.099791,1.14944
8000001,-0.986516,-0.831,0.099587,1.13811
9000001,-0.998753,-0.8386,0.100702,1.14065
10000001,-0.997945,-0.8374,0.098142,1.14025
11000001,-0.991803,-0.8398,0.103438,1.14105
12000001,-1.01617,-0.8616,0.100233,1.14847
13000001,-1.0207,-0.8674,0.094645,1.15048
14000001,-1.0181,-0.8574,0.09371,1.14703
15000001,-0.998266,-0.8416,0.094605,1.14166
16000001,-1.01046,-0.8442,0.104633,1.14253
17000001,-0.970605,-0.8198,0.099172,1.13441
18000001,-1.03505,-0.875,0.099588,1.15312
19000001,-0.989735,-0.8374,0.099728,1.14025
20000001,-1.03437,-0.8802,0.102488,1.15495
21000001,-1.01187,-0.8686,0.105216,1.15089
22000001,-1.00732,-0.849,0.099196,1.14416
23000001,-0.982466,-0.8264,0.096115,1.13659
24000001,-1.00931,-0.8526,0.101515,1.14539
25000001,-0.993968,-0.8394,0.097096,1.14092
26000001,-0.992219,-0.8334,0.09907,1.13891
27000001,-1.01809,-0.8664,0.098185,1.15013
28000001,-1.01926,-0.8612,0.09795,1.14833
29000001,-1.00615,-0.8512,0.102342,1.14491
30000001,-0.999312,-0.8436,0.103734,1.14233
31000001,-1.01754,-0.8646,0.096809,1.14951
32000001,-1.02428,-0.873,0.098068,1.15243
33000001,-0.966248,-0.8074,0.107522,1.13038
34000001,-1.01346,-0.8542,0.09734,1.14593
35000001,-0.969939,-0.8158,0.101614,1.13311
36000001,-1.02417,-0.8652,0.101437,1.14971
37000001,-0.97815,-0.8304,0.100486,1.13791
38000001,-1.00983,-0.8528,0.101462,1.14545
39000001,-1.01097,-0.852,0.111408,1.14518
40000001,-0.991978,-0.8404,0.104042,1.14125
41000001,-0.997546,-0.85,0.103092,1.1445
42000001,-1.00246,-0.8542,0.100123,1.14593
43000001,-1.00344,-0.8544,0.099385,1.146
44000001,-1.00527,-0.8498,0.098897,1.14443
45000001,-1.0048,-0.8436,0.107109,1.14233
46000001,-1.00979,-0.8496,0.109818,1.14436
47000001,-1.02261,-0.8706,0.100641,1.15159
48000001,-1.01428,-0.8584,0.094491,1.14737
49000001,-1.00752,-0.8512,0.100158,1.14491
50000001,-0.997782,-0.8384,0.096248,1.14058
51000001,-1.0144,-0.8588,0.100446,1.14751
52000001,-1.0207,-0.8584,0.09974,1.14737
53000001,-1.01665,-0.8496,0.09938,1.14436
54000001,-1.00004,-0.8476,0.098458,1.14369
