step,Energy,Magnet,acc,J
1,0.0014,0.0026,1e-05,1
100001,-0.453641,0.0024,0.6036,1
200001,-0.570649,0.00872,0.44846,1.00002
300001,-0.619173,0.01034,0.38731,1.00002
400001,-0.644899,0.01222,0.35912,1.00003
500001,-0.663658,0.01154,0.33952,1.00003
600001,-0.671058,0.01148,0.32973,1.00003
700001,-0.678049,0.00824,0.32376,1.00001
800001,-0.684215,0.0103,0.31759,1.00002
900001,-0.686293,0.00964,0.31333,1.00002
1000001,-0.690647,0.0071,0.31083,1.00001
1100001,-0.69041,0.00834,0.3085,1.00001
1200001,-0.687576,0.0107,0.30758,1.00002
1300001,-0.689012,0.00934,0.30918,1.00002
1400001,-0.689826,0.01364,0.30853,1.00004
1500001,-0.688878,0.01652,0.30598,1.00005
1600001,-0.691243,0.01772,0.309,1.00006
1700001,-0.694073,0.01544,0.30694,1.00005
1800001,-0.699526,0.01816,0.30446,1.00007
1900001,-0.695344,0.01324,0.30152,1.00004
2000001,-0.693784,0.01326,0.30821,1.00004
2100001,-0.696253,0.0095,0.30492,1.00002
2200001,-0.693404,0.00568,0.30463,1.00001
2300001,-0.69296,0.0011,0.30689,1
2400001,-0.693161,-0.00224,0.30785,1
2500001,-0.694247,-0.00688,0.30654,1.00001
2600001,-0.696489,-0.00784,0.30448,1.00001
2700001,-0.693178,-0.01134,0.30439,1.00003
2800001,-0.69229,-0.00858,0.30884,1.00001
2900001,-0.693252,-0.00946,0.30342,1.00002
3000001,-0.695136,-0.0106,0.30495,1.00002
3100001,-0.696058,-0.01132,0.30284,1.00003
3200001,-0.696505,-0.01336,0.30248,1.00004
3300001,-0.697647,-0.01844,0.30168,1.00007
3400001,-0.695896,-0.02,0.30164,1.00008
3500001,-0.695935,-0.01996,0.30274,1.00008
3600001,-0.695725,-0.0247,0.30265,1.00012
3700001,-0.695806,-0.02492,0.30401,1.00012
3800001,-0.693826,-0.02176,0.30316,1.00009
3900001,-0.696063,-0.02132,0.30416,1.00009
4000001,-0.697096,-0.02008,0.30458,1.00008
4100001,-0.696164,-0.01778,0.30061,1.00006
4200001,-0.69564,-0.01694,0.30464,1.00006
4300001,-0.691868,-0.02212,0.30589,1.0001
4400001,-0.689879,-0.02932,0.30946,1.00017
4500001,-0.690915,-0.0289,0.30777,1.00017
4600001,-0.693537,-0.03138,0.30606,1.0002
4700001,-0.693318,-0.0292,0.30705,1.00017
4800001,-0.694185,-0.03232,0.30618,1.00021
4900001,-0.693236,-0.0376,0.30214,1.00028
5000001,-0.690151,-0.04092,0.30382,1.00033
5100001,-0.692029,-0.04726,0.30667,1.00045
5200001,-0.692643,-0.04832,0.30715,1.00047
5300001,-0.692519,-0.0537,0.30539,1.00058
5400001,-0.695075,-0.05332,0.30499,1.00057
5500001,-0.692408,-0.0543,0.30449,1.00059
5600001,-0.69488,-0.05626,0.30452,1.00063
5700001,-0.692422,-0.05778,0.30388,1.00067
5800001,-0.692794,-0.06092,0.30083,1.00074
5900001,-0.694248,-0.064,0.30566,1.00082
6000001,-0.697335,-0.06854,0.30065,1.00094
6100001,-0.695945,-0.06702,0.30098,1.0009
6200001,-0.698845,-0.07006,0.29946,1.00098
6300001,-0.697474,-0.07356,0.29957,1.00108
6400001,-0.698471,-0.079,0.30042,1.00125
6500001,-0.694537,-0.07674,0.29937,1.00118
6600001,-0.696299,-0.07858,0.30146,1.00123
6700001,-0.698508,-0.08244,0.29643,1.00136
6800001,-0.697896,-0.08016,0.30274,1.00129
6900001,-0.696581,-0.08398,0.30289,1.00141
7000001,-0.696786,-0.08588,0.29911,1.00148
7100001,-0.697599,-0.08638,0.30111,1.00149
7200001,-0.696916,-0.08954,0.29766,1.0016
7300001,-0.696941,-0.09368,0.29891,1.00176
7400001,-0.695267,-0.0985,0.30221,1.00194
7500001,-0.698618,-0.0994,0.29703,1.00198
7600001,-0.699184,-0.1052,0.29334,1.00221
7700001,-0.697959,-0.11368,0.29478,1.00258
7800001,-0.697818,-0.11302,0.29429,1.00255
7900001,-0.697873,-0.1135,0.29718,1.00258
8000001,-0.699648,-0.1163,0.29504,1.00271
8100001,-0.698573,-0.1202,0.29545,1.00289
8200001,-0.697663,-0.12176,0.2944,1.00297
8300001,-0.697358,-0.12802,0.29691,1.00328
8400001,-0.700544,-0.13066,0.29662,1.00341
8500001,-0.701977,-0.13468,0.29395,1.00363
8600001,-0.706293,-0.13936,0.28702,1.00388
8700001,-0.708159,-0.1378,0.28892,1.0038
8800001,-0.709138,-0.1392,0.28584,1.00388
8900001,-0.705458,-0.1406,0.28908,1.00395
9000001,-0.704964,-0.15108,0.2898,1.00457
9100001,-0.707022,-0.1513,0.28821,1.00458
9200001,-0.706253,-0.15398,0.28594,1.00474
9300001,-0.707056,-0.15942,0.28818,1.00508
9400001,-0.708207,-0.16698,0.28758,1.00558
9500001,-0.707266,-0.16578,0.28516,1.0055
9600001,-0.706647,-0.16544,0.28665,1.00547
9700001,-0.705742,-0.17014,0.28631,1.00579
9800001,-0.706877,-0.18328,0.28939,1.00672
9900001,-0.709895,-0.19012,0.28634,1.00723
10000001,-0.707681,-0.20044,0.283,1.00804
10100001,-0.707177,-0.20714,0.28617,1.00858
10200001,-0.710633,-0.21102,0.28304,1.00891
10300001,-0.715505,-0.22138,0.28024,1.0098
10400001,-0.712524,-0.22472,0.28141,1.0101
10500001,-0.714027,-0.23602,0.28031,1.01114
10600001,-0.713734,-0.23768,0.27793,1.0113
10700001,-0.715036,-0.24374,0.27765,1.01188
10800001,-0.719129,-0.2558,0.27521,1.01309
10900001,-0.722638,-0.267,0.27342,1.01426
11000001,-0.726588,-0.28064,0.26846,1.01575
11100001,-0.725848,-0.28606,0.27229,1.01637
11200001,-0.73085,-0.29292,0.26639,1.01716
11300001,-0.734559,-0.30106,0.26415,1.01813
11400001,-0.738032,-0.3113,0.26208,1.01938
11500001,-0.735883,-0.32258,0.26054,1.02081
11600001,-0.739645,-0.33466,0.2564,1.0224
11700001,-0.742131,-0.3429,0.25512,1.02352
11800001,-0.744859,-0.35006,0.25374,1.02451
11900001,-0.751705,-0.3638,0.24989,1.02647
