step,Energy,Magnet,acc,J
1,-0.0028,0.0002,1e-06,1
1000001,-0.63383,-0.0426,0.375498,1.00036
2000001,-0.62575,-0.0346,0.369098,1.00024
3000001,-0.612401,-0.0034,0.369512,1
4000001,-0.637782,0.0378,0.370404,1.00029
5000001,-0.622311,-0.0756,0.370421,1.00114
6000001,-0.621326,0.0318,0.369989,1.0002
7000001,-0.622871,0.0238,0.369548,1.00011
8000001,-0.619515,0.0504,0.371813,1.00051
9000001,-0.626826,0.0144,0.368988,1.00004
10000001,-0.634801,-0.002,0.370718,1
11000001,-0.631184,-0.0552,0.369168,1.00061
12000001,-0.632656,0.045,0.367641,1.0004
13000001,-0.62456,0.0358,0.369048,1.00026
14000001,-0.631836,-0.0906,0.365998,1.00164
15000001,-0.631046,-0.0716,0.368137,1.00103
16000001,-0.631036,-0.1208,0.370472,1.00292
17000001,-0.642853,-0.0594,0.366899,1.00071
18000001,-0.639272,-0.0238,0.370654,1.00011
19000001,-0.626411,0.0092,0.366991,1.00002
20000001,-0.629002,0.0692,0.372132,1.00096
21000001,-0.627536,-0.0766,0.370609,1.00117
22000001,-0.615053,-0.0454,0.36619,1.00041
23000001,-0.628358,-0.0534,0.37154,1.00057
24000001,-0.62403,0.0156,0.369207,1.00005
25000001,-0.630941,0.0334,0.370537,1.00022
26000001,-0.638753,0.1104,0.369911,1.00244
27000001,-0.625237,0.0172,0.368188,1.00006
28000001,-0.623005,-0.0406,0.368403,1.00033
29000001,-0.640054,-0.0596,0.368477,1.00071
30000001,-0.637749,-0.0342,0.365997,1.00023
31000001,-0.634094,-0.084,0.366151,1.00141
32000001,-0.623883,0.074,0.368256,1.0011
33000001,-0.635252,0.0202,0.366773,1.00008
34000001,-0.620866,0.023,0.370226,1.00011
35000001,-0.626811,0.0092,0.369863,1.00002
36000001,-0.631026,0.1064,0.371758,1.00226
37000001,-0.628401,0.002,0.367676,1
38000001,-0.620625,-0.0426,0.370805,1.00036
39000001,-0.628055,-0.021,0.370148,1.00009
40000001,-0.628481,0.0254,0.369694,1.00013
41000001,-0.612507,0.0296,0.369767,1.00018
42000001,-0.622473,0.0242,0.368805,1.00012
43000001,-0.630513,-0.0638,0.371324,1.00081
44000001,-0.619203,-0.0052,0.369723,1.00001
45000001,-0.622488,-0.0266,0.369231,1.00014
46000001,-0.629267,-0.023,0.370434,1.00011
47000001,-0.623341,-0.0336,0.369389,1.00023
48000001,-0.634422,0.1132,0.36807,1.00256
49000001,-0.624998,-0.0398,0.370183,1.00032
50000001,-0.641506,0.0742,0.36764,1.0011
51000001,-0.627461,0.0456,0.369271,1.00042
52000001,-0.630407,-0.0076,0.370668,1.00001
53000001,-0.636801,-0.0028,0.368872,1
54000001,-0.638153,0.0346,0.371047,1.00024
55000001,-0.620926,-0.0318,0.370798,1.0002
56000001,-0.622442,0.0596,0.370957,1.00071
57000001,-0.630023,-0.0986,0.369301,1.00194
58000001,-0.634386,-0.0552,0.367049,1.00061
59000001,-0.633203,-0.0048,0.370588,1
60000001,-0.626065,-0.0228,0.370014,1.0001
61000001,-0.629264,-0.0226,0.366463,1.0001
62000001,-0.619917,-0.0506,0.368556,1.00051
63000001,-0.628437,-0.0172,0.372257,1.00006
64000001,-0.632911,0.0296,0.370608,1.00018
