step,Energy,Magnet,acc,J
1,0.0014,0.0026,1e-05,1
100001,-0.476321,-0.00322,0.58439,1
200001,-0.619321,-0.00322,0.40708,1
300001,-0.68648,-0.00036,0.32791,1
400001,-0.73136,-0.00108,0.2799,1
500001,-0.756284,-0.00502,0.24545,1.00001
600001,-0.775684,-0.00482,0.22724,1
700001,-0.79097,-0.0079,0.21106,1.00001
800001,-0.802588,-0.01328,0.19789,1.00004
900001,-0.811161,-0.01596,0.19004,1.00005
1000001,-0.818396,-0.0216,0.18226,1.00009
1100001,-0.825665,-0.0252,0.17418,1.00013
1200001,-0.83179,-0.03002,0.16849,1.00018
1300001,-0.836689,-0.03174,0.16366,1.0002
1400001,-0.84157,-0.03174,0.15734,1.0002
1500001,-0.846168,-0.0351,0.15308,1.00025
1600001,-0.849175,-0.04166,0.14998,1.00035
1700001,-0.851685,-0.04878,0.1448,1.00048
1800001,-0.854815,-0.05802,0.1423,1.00067
1900001,-0.857462,-0.064,0.14015,1.00082
2000001,-0.859125,-0.07016,0.13684,1.00098
2100001,-0.862253,-0.07516,0.13774,1.00113
2200001,-0.862457,-0.08542,0.13325,1.00146
2300001,-0.865529,-0.09408,0.13301,1.00177
2400001,-0.866367,-0.10224,0.13022,1.00209
2500001,-0.866967,-0.10878,0.12869,1.00237
2600001,-0.868937,-0.1181,0.12552,1.00279
2700001,-0.871292,-0.13344,0.12445,1.00356
2800001,-0.872041,-0.15028,0.1249,1.00452
2900001,-0.873817,-0.16578,0.12227,1.0055
3000001,-0.878285,-0.1849,0.12038,1.00684
3100001,-0.881133,-0.20428,0.11647,1.00835
3200001,-0.884739,-0.22692,0.1141,1.0103
3300001,-0.887231,-0.24718,0.11027,1.01222
3400001,-0.891877,-0.27192,0.10865,1.01479
3500001,-0.897515,-0.29812,0.10462,1.01778
3600001,-0.903159,-0.32424,0.1007,1.02103
3700001,-0.908573,-0.35496,0.09664,1.0252
3800001,-0.915671,-0.3831,0.09645,1.02935
3900001,-0.922698,-0.4137,0.09134,1.03423
4000001,-0.931714,-0.44434,0.08722,1.03949
4100001,-0.940927,-0.47586,0.0824,1.04529
4200001,-0.952816,-0.50898,0.07832,1.05181
4300001,-0.963028,-0.54536,0.07261,1.05948
4400001,-0.973691,-0.57854,0.06981,1.06694
4500001,-0.984421,-0.61036,0.06615,1.07451
4600001,-0.99671,-0.64166,0.06233,1.08235
4700001,-1.01134,-0.67466,0.05634,1.09103
4800001,-1.02325,-0.70304,0.05141,1.09885
4900001,-1.03596,-0.73334,0.04827,1.10756
5000001,-1.05032,-0.76152,0.04369,1.11598
5100001,-1.06273,-0.78576,0.03882,1.12348
5200001,-1.07542,-0.8113,0.03617,1.13164
5300001,-1.08801,-0.8332,0.03361,1.13884
5400001,-1.09762,-0.8514,0.02856,1.14498
5500001,-1.10867,-0.86994,0.02655,1.15136
5600001,-1.11855,-0.88698,0.02372,1.15735
5700001,-1.12912,-0.90194,0.02046,1.1627
5800001,-1.13749,-0.91534,0.01744,1.16757
5900001,-1.14593,-0.92748,0.01619,1.17204
6000001,-1.15218,-0.9374,0.0134,1.17574
6100001,-1.15691,-0.94624,0.01206,1.17907
6200001,-1.16347,-0.95484,0.01196,1.18234
6300001,-1.16874,-0.96138,0.00951,1.18485
6400001,-1.17256,-0.9667,0.00822,1.1869
6500001,-1.17563,-0.97222,0.0076,1.18904
6600001,-1.17818,-0.97624,0.00659,1.19061
6700001,-1.1814,-0.97952,0.0058,1.19189
6800001,-1.18342,-0.98212,0.00564,1.19291
6900001,-1.18616,-0.98524,0.00512,1.19414
7000001,-1.18775,-0.98734,0.00405,1.19497
7100001,-1.188,-0.9887,0.00404,1.19551
7200001,-1.18912,-0.9901,0.00392,1.19606
7300001,-1.19081,-0.99232,0.00371,1.19694
7400001,-1.19166,-0.99314,0.00299,1.19727
7500001,-1.19274,-0.9943,0.00302,1.19773
7600001,-1.19289,-0.99502,0.00262,1.19801
7700001,-1.19333,-0.99518,0.00262,1.19808
7800001,-1.19494,-0.99622,0.0023,1.19849
7900001,-1.19495,-0.99648,0.00191,1.19859
8000001,-1.19485,-0.9966,0.00168,1.19864
8100001,-1.19492,-0.99664,0.00232,1.19866
8200001,-1.1949,-0.99684,0.00226,1.19874
8300001,-1.1948,-0.9967,0.00225,1.19868
8400001,-1.19502,-0.99702,0.00228,1.19881
8500001,-1.19588,-0.99748,0.00191,1.19899
8600001,-1.19582,-0.99758,0.00163,1.19903
8700001,-1.19558,-0.99746,0.00178,1.19899
8800001,-1.19611,-0.99758,0.0017,1.19903
8900001,-1.19641,-0.99798,0.00172,1.19919
9000001,-1.19655,-0.9981,0.00158,1.19924
9100001,-1.19616,-0.99796,0.00169,1.19918
9200001,-1.19671,-0.99838,0.00181,1.19935
9300001,-1.19623,-0.99802,0.00186,1.19921
