step,Energy,Magnet,acc,J
1,-0.0028,0.0002,1e-06,1
1000001,-0.653424,-0.0414,0.3505,1.00034
2000001,-0.660002,0.0036,0.347991,1
3000001,-0.656859,0.1254,0.347207,1.00315
4000001,-0.635244,-0.0186,0.33743,1.00007
5000001,-0.647749,0.129,0.341866,1.00333
6000001,-0.681947,0.2428,0.329475,1.01179
7000001,-0.707473,0.3722,0.305905,1.02771
8000001,-0.686523,0.2566,0.307562,1.01317
9000001,-0.653091,0.0472,0.332517,1.00045
10000001,-0.649489,0.0472,0.34604,1.00045
11000001,-0.642891,-0.0266,0.348007,1.00014
12000001,-0.657108,-0.0484,0.344693,1.00047
13000001,-0.664136,-0.149,0.336241,1.00444
14000001,-0.668739,-0.1074,0.340866,1.00231
15000001,-0.650429,-0.1478,0.33647,1.00437
16000001,-0.654848,-0.0192,0.343437,1.00007
17000001,-0.648401,0.0028,0.34,1
18000001,-0.698022,0.2806,0.333091,1.01575
19000001,-0.662327,0.1636,0.331257,1.00535
20000001,-0.6456,-0.0006,0.346275,1
21000001,-0.659674,-0.1372,0.344865,1.00376
22000001,-0.666875,-0.2144,0.334884,1.00919
23000001,-0.672888,-0.199,0.323905,1.00792
24000001,-0.689635,-0.298,0.316767,1.01776
25000001,-0.655085,-0.1066,0.336445,1.00227
26000001,-0.664146,-0.1684,0.334911,1.00567
27000001,-0.646978,-0.087,0.343005,1.00151
28000001,-0.648607,-0.04,0.348055,1.00032
29000001,-0.640012,0.0098,0.346181,1.00002
30000001,-0.6464,0.0006,0.347858,1
31000001,-0.646071,-0.0604,0.346845,1.00073
32000001,-0.657159,-0.165,0.342865,1.00545
33000001,-0.657123,-0.0496,0.335617,1.00049
34000001,-0.632099,-0.028,0.34979,1.00016
35000001,-0.652987,-0.0378,0.349257,1.00029
36000001,-0.67075,-0.2186,0.336648,1.00956
37000001,-0.652555,-0.102,0.328257,1.00208
38000001,-0.656048,-0.0192,0.345468,1.00007
39000001,-0.66563,-0.0962,0.342125,1.00185
40000001,-0.660585,-0.0666,0.346526,1.00089
41000001,-0.664293,-0.1316,0.342811,1.00346
42000001,-0.656689,-0.1066,0.339973,1.00227
43000001,-0.641088,-0.0922,0.344036,1.0017
44000001,-0.656617,-0.0686,0.3492,1.00094
45000001,-0.656511,-0.127,0.338818,1.00323
46000001,-0.65418,-0.0866,0.333136,1.0015
47000001,-0.645232,-0.1126,0.342158,1.00254
48000001,-0.662718,-0.049,0.339034,1.00048
49000001,-0.659601,-0.0024,0.347533,1
50000001,-0.657218,0.0118,0.347771,1.00003
51000001,-0.669808,0.1778,0.341784,1.00632
52000001,-0.638486,0.026,0.342933,1.00014
53000001,-0.641702,0.1282,0.330437,1.00329
54000001,-0.65903,0.0418,0.344258,1.00035
55000001,-0.656465,-0.0812,0.341913,1.00132
56000001,-0.649354,-0.129,0.333985,1.00333
57000001,-0.651201,-0.0028,0.349937,1
58000001,-0.647076,0.0462,0.340455,1.00043
59000001,-0.66237,0.1646,0.338432,1.00542
60000001,-0.668912,0.029,0.340196,1.00017
61000001,-0.657257,-0.059,0.345638,1.0007
62000001,-0.649924,-0.1084,0.347103,1.00235
63000001,-0.65423,-0.1716,0.32913,1.00589
64000001,-0.650436,0.0166,0.343869,1.00006
65000001,-0.653797,-0.1174,0.342726,1.00276
66000001,-0.648866,-0.0226,0.34678,1.0001
67000001,-0.658484,0.0252,0.347175,1.00013
68000001,-0.66122,-0.0122,0.345547,1.00003
69000001,-0.647117,0.093,0.34675,1.00173
70000001,-0.642102,0.1008,0.338365,1.00203
71000001,-0.652825,0.0138,0.345311,1.00004
72000001,-0.658464,0.022,0.347957,1.0001
73000001,-0.638517,0.0848,0.34483,1.00144
74000001,-0.649605,-0.0064,0.35028,1.00001
75000001,-0.65777,-0.1506,0.342445,1.00454
76000001,-0.649603,-0.1112,0.341727,1.00247
77000001,-0.638089,-0.0264,0.340046,1.00014
78000001,-0.644825,0.014,0.347188,1.00004
79000001,-0.651037,-0.07,0.34831,1.00098
80000001,-0.6427,-0.0926,0.343269,1.00171
81000001,-0.649711,-0.0838,0.34007,1.0014
82000001,-0.65044,-0.0176,0.345205,1.00006
83000001,-0.655621,-0.0126,0.346421,1.00003
84000001,-0.646208,0.0686,0.346726,1.00094
85000001,-0.648144,0.0648,0.345739,1.00084
