step,Energy,Magnet,acc,J
1,-0.0028,0.0002,1e-06,1
1000001,-0.619945,-0.0528,0.381407,1.00056
2000001,-0.629283,0.0838,0.375063,1.0014
3000001,-0.611346,-0.0346,0.378458,1.00024
4000001,-0.625256,0.0212,0.378461,1.00009
5000001,-0.628896,-0.0276,0.37777,1.00015
6000001,-0.599225,-0.0144,0.378928,1.00004
7000001,-0.616018,-0.012,0.378598,1.00003
8000001,-0.610103,0.029,0.376429,1.00017
9000001,-0.649784,0.0376,0.375257,1.00028
10000001,-0.631157,0.0532,0.374558,1.00057
11000001,-0.609222,0.0134,0.378953,1.00004
12000001,-0.620842,-0.0184,0.376487,1.00007
13000001,-0.61415,0.035,0.378043,1.00025
14000001,-0.616153,-0.0352,0.376315,1.00025
15000001,-0.619027,0.0712,0.379718,1.00101
16000001,-0.630027,-0.0146,0.379105,1.00004
17000001,-0.623616,0.0114,0.37728,1.00003
18000001,-0.620208,0.041,0.37823,1.00034
19000001,-0.629046,-0.0442,0.379206,1.00039
20000001,-0.62103,0.043,0.376156,1.00037
21000001,-0.625073,0.0734,0.378442,1.00108
22000001,-0.613699,0.0284,0.377707,1.00016
23000001,-0.621405,0.0406,0.378527,1.00033
24000001,-0.614667,-0.0466,0.378846,1.00043
25000001,-0.610446,-0.0194,0.378652,1.00008
26000001,-0.615315,0.0306,0.37776,1.00019
27000001,-0.634721,-0.0754,0.374986,1.00114
28000001,-0.623814,-0.0702,0.371382,1.00099
29000001,-0.622112,-0.03,0.375351,1.00018
30000001,-0.62161,-0.0088,0.37808,1.00002
31000001,-0.613695,0.0278,0.376741,1.00015
32000001,-0.612411,0.0096,0.376413,1.00002
33000001,-0.622871,0.0238,0.377847,1.00011
34000001,-0.610546,0.0346,0.37777,1.00024
35000001,-0.622867,-0.0232,0.380531,1.00011
36000001,-0.618548,0.0346,0.379315,1.00024
37000001,-0.611899,0.0756,0.374695,1.00114
38000001,-0.634079,0.025,0.376933,1.00012
39000001,-0.6204,0.0004,0.377247,1
40000001,-0.633716,-0.0302,0.376417,1.00018
41000001,-0.62021,-0.0412,0.375373,1.00034
42000001,-0.610025,-0.0144,0.377934,1.00004
43000001,-0.619254,-0.0208,0.378346,1.00009
44000001,-0.623295,-0.0848,0.373752,1.00144
45000001,-0.621019,-0.042,0.375068,1.00035
46000001,-0.620835,0.0168,0.376994,1.00006
47000001,-0.613478,0.0476,0.376518,1.00045
48000001,-0.635624,-0.0138,0.377799,1.00004
49000001,-0.626808,-0.0078,0.378174,1.00001
50000001,-0.630118,0.0306,0.378912,1.00019
51000001,-0.628737,0.0518,0.377514,1.00054
52000001,-0.61283,0.0156,0.376795,1.00005
53000001,-0.627249,-0.0198,0.377291,1.00008
54000001,-0.623712,-0.03,0.378959,1.00018
55000001,-0.607603,-0.005,0.377487,1.00001
56000001,-0.614439,-0.0178,0.380004,1.00006
57000001,-0.628425,0.0142,0.377778,1.00004
58000001,-0.618539,0.0872,0.376159,1.00152
59000001,-0.631698,0.0278,0.377935,1.00015
60000001,-0.620445,0.019,0.38091,1.00007
61000001,-0.612341,0.0528,0.378235,1.00056
62000001,-0.626966,-0.0364,0.377388,1.00026
63000001,-0.624058,-0.0216,0.378152,1.00009
64000001,-0.636824,0.0136,0.3768,1.00004
65000001,-0.623226,-0.0144,0.375986,1.00004
66000001,-0.627326,0.1304,0.375956,1.0034
