k,Lx,T,TotalStep,mean_E,mean_M,error_E,error_M,State
0.2,100000,1.5,4051400001,-0.5828035281921895,-0.00030743473014480024,0.0025823494636806237,0.009577814764159233,0
0.1,100000,0.95,8793400001,-0.9666192116827981,0.8345409956786536,inf,2.031963734088539e-05,1
0.1,100000,0.961111,8779300001,-0.9534113405935581,0.8129888775548946,inf,2.2469648014827512e-05,1
0.1,100000,0.972222,8801000001,-0.938233785330135,0.7867697369019064,inf,2.585563648019668e-05,1
0.1,100000,0.983333,8745700001,-0.9209490773569805,0.7549911346283333,inf,2.9987053277197415e-05,1
0.1,100000,0.994444,8744500001,-0.9007727673345955,0.714989700766191,inf,3.420183728675549e-05,1
0.1,100000,1.00556,8805900001,-0.8765058579882403,0.6617114909026673,inf,4.419711036121964e-05,1
0.1,100000,1.01667,8693300001,-0.8452400495775871,0.5821133679273016,inf,6.198761033333925e-05,1
0.1,100000,1.02778,8782600001,-0.7985832297931558,0.4242201801505472,inf,0.00019873287930782842,1
0.1,100000,1.03889,8770600001,-0.7465921687189622,-0.017751053258335866,0.002838891427384886,0.06413267526766525,1
0.1,100000,1.05,8651500001,-0.7411513421177679,-0.0006660240159249985,0.0021684566056452896,0.03370870444976166,0
