k,Lx,T,TotalStep,mean_E,mean_M,error_E,error_M,State
0.1,100000,0.95,8758000001,-0.9666180709065997,0.8345386498693258,inf,2.0362797542820884e-05,1
0.1,100000,0.961111,8743900001,-0.9534061336408458,0.8129789359052557,inf,2.2531235239481782e-05,1
0.1,100000,0.972222,8765600001,-0.9382331911980936,0.7867678428738023,inf,2.591308257872755e-05,1
0.1,100000,0.983333,8710600001,-0.9209488056278382,0.7549929815296699,inf,3.005153189467228e-05,1
0.1,100000,0.994444,8709300001,-0.9007683821011673,0.7149790365503603,inf,3.4233011831651045e-05,1
0.1,100000,1.00556,8770500001,-0.8764975653259012,0.6616907397225567,inf,4.425589919741136e-05,1
0.1,100000,1.01667,8657500001,-0.845281280496413,0.5822410161834723,inf,6.178892680678152e-05,1
0.1,100000,1.02778,8747100001,-0.7986150448147961,0.42434444210151917,inf,0.00019938954340320436,1
0.1,100000,1.03889,8735300001,-0.7465895460384895,-0.01758873020516669,0.002841661095218298,0.06418100351997355,1
0.1,100000,1.05,8616800001,-0.7411485546343101,-0.00043697957499484193,0.0021685676666721825,0.033579786581635664,0
0.2,100000,0.5,1457800001,-1.199900721688767,0.9999575019051974,inf,3.0857104562520703e-07,1
0.2,100000,0.611111,1457200001,-1.1991567650198232,0.9996092253735894,inf,1.0045039336734459e-06,1
0.2,100000,0.722222,1458100001,-1.1961309304274936,0.9980678838680179,inf,2.4317822760150973e-06,1
0.2,100000,0.833333,1460800001,-1.187754024186188,0.9934381655004564,inf,4.869896742820585e-06,1
0.2,100000,0.944444,1463800001,-1.1692912644201578,0.9822664951426836,inf,8.501691575377864e-06,1
0.2,100000,1.05556,1452300001,-1.1331650569964042,0.9579640716089052,inf,1.494454203832016e-05,1
0.2,100000,1.14444,4140100001,-1.0814377657604468,0.9185450911140335,inf,1.4326237974576263e-05,1
0.2,100000,1.16667,1454200001,-1.063167561888753,0.9033429660757947,inf,2.842157492411841e-05,1
0.2,100000,1.18889,4138400001,-1.0418811230736187,0.8847901073940826,inf,1.899194537364094e-05,1
0.2,100000,1.1,4151900001,-1.11076352815243,0.9415547093770071,inf,1.114435599850568e-05,1
0.2,100000,1.23333,4119500001,-0.984680881597756,0.8298874919761577,inf,2.743199933731947e-05,1
0.2,100000,1.273,9999900001,-0.6597227048862786,-0.0012657023244188959,0.013465514653046509,0.09544844106208018,0
0.2,100000,1.273,9999900001,-0.8941935497053894,0.7246179350235148,6.026750787994635e-05,3.810619990228135e-05,1
0.2,100000,1.273,9999900001,-0.8937344193666665,0.7239584477777777,inf,3.4637870745337325e-05,1
0.2,100000,1.27433,9999900001,-0.6579262627962086,-0.01893052268111036,0.004759959285896165,0.07427813206714756,1
0.2,100000,1.27433,9999900001,-0.8888795220245795,0.7174612115135834,3.263719285397826e-05,6.262526752572434e-05,1
0.2,100000,1.27433,9999900001,-0.8891869184666665,0.717920584,inf,3.508840362930799e-05,1
0.2,100000,1.27567,9999900001,-0.6566614421666667,0.011559130222222224,0.003651690798521611,0.06219838276692951,1
0.2,100000,1.27567,9999900001,-0.8836453404777779,0.7103871817777778,inf,3.7052930704229577e-05,1
0.2,100000,1.27778,4077700001,-0.6554077957548841,-0.011577756464401515,0.0028892351116953712,0.05127172453355636,1
0.2,100000,1.277,9999900001,-0.6558705879111111,0.0006584464444444444,0.0031426484352102247,0.05712438994855475,0
0.2,100000,1.277,9999900001,-0.8785136460555554,0.7033893288888889,inf,3.9849525049577753e-05,1
0.2,100000,1.27833,9999900001,-0.6551475405,0.00355737511111111,0.00291323476521122,0.05210380751216785,0
0.2,100000,1.27833,9999900001,-0.8723354759333335,0.6947112611111111,inf,4.241459660856399e-05,1
0.2,100000,1.27967,9999900001,-0.6544505400888889,-0.002242528666666667,0.002666948540144033,0.04591852948684421,0
0.2,100000,1.27967,9999900001,-0.8661525344888888,0.6858731031111112,inf,4.4003530672776954e-05,1
0.2,100000,1.281,9999900001,-0.653888726,-0.002993028222222222,0.0027185303094425517,0.043622239191703896,0
0.2,100000,1.281,9999900001,-0.8595275964000001,0.6762426251111111,inf,4.665984845392784e-05,1
0.2,100000,1.28233,9999900001,-0.6533104248222222,0.004250884444444445,0.0025858943272617798,0.04111139348316316,0
0.2,100000,1.28233,9999900001,-0.8512202719222223,0.663759596,inf,5.2471373101252834e-05,1
0.2,100000,1.28367,9999900001,-0.6527508425444445,-0.0010615324444444444,0.002546905881634217,0.03819941574783118,0
0.2,100000,1.28367,9999900001,-0.8414570428222222,0.6485996102222222,inf,5.910774562101616e-05,1
0.2,100000,1.285,9999900001,-0.6521858235444444,0.00016903733333333327,0.0024919007217247646,0.03417236391690582,0
0.2,100000,1.285,9999900001,-0.8295152832,0.6293000115555556,inf,7.01330282856141e-05,1
0.2,100000,1.32222,4076700001,-0.6390166076694557,0.0002535613638221907,0.00243222581039133,0.018443461948591165,0
0.2,100000,1.36667,4058500001,-0.6241339890765735,0.00031472335532619695,0.002465378625536423,0.014301968989396147,0
0.2,100000,1.38889,1411200001,-0.6169556429696111,-3.0210990395213385e-05,0.002522151008020076,0.01286425902115381,0
0.2,100000,1.41111,4058800001,-0.6098421356693129,0.0004173753079660554,0.0025110889847074045,0.01244094069031978,0
0.2,100000,1.45556,4047200001,-0.5961053234502828,3.2974249162685946e-05,0.00254434089163065,0.01056269242361814,0
